month,date,num,num_unadj
72,2006-01,1876292.240776425,1647458.080808074
73,2006-02,1803616.652823412,1679286.868686863
74,2006-03,1865094.007863952,2053147.979797976
75,2006-04,1823708.998217365,1886143.43434343
76,2006-05,1827906.952733983,2022892.424242419
77,2006-06,1876028.932405321,2023554.545454542
78,2006-07,1888817.821789919,2088567.171717169
79,2006-08,1907667.779845209,2113241.919191916
80,2006-09,1888993.521788607,1837141.414141409
81,2006-10,1933213.299156089,1757858.080808075
82,2006-11,1904733.506040317,1666850.505050499
83,2006-12,1880325.98892536,1694728.787878781
84,2007-01,1882247.356350346,1649845.454545448
85,2007-02,1883291.385267599,1756416.666666661
86,2007-03,1890414.061460638,2082136.36363636
87,2007-04,1849417.048799132,1915632.828282822
88,2007-05,1900420.477445319,2094140.404040401
89,2007-06,1844265.493987974,1986625.757575754
90,2007-07,1838540.010561371,2035277.777777773
91,2007-08,1874386.888079767,2072246.969696966
92,2007-09,1846390.300118682,1796308.585858579
93,2007-10,1995346.979775012,1818401.010101005
94,2007-11,1883234.957356317,1649534.848484842
95,2007-12,1830158.518167009,1657361.61616161
96,2008-01,1840788.292014725,1605801.515151509
97,2008-02,1850725.466242424,1734125.252525246
98,2008-03,1772269.140910404,1955534.848484845
99,2008-04,1807140.456823629,1877912.62626262
100,2008-05,1770472.115330869,1937399.494949491
101,2008-06,1687049.477481626,1808802.52525252
102,2008-07,1595441.701976446,1761677.777777771
103,2008-08,1536062.417169992,1691934.848484841
104,2008-09,1497533.506968313,1459667.171717166
105,2008-10,1381865.260484948,1264947.474747471
106,2008-11,1275569.351750818,1121427.777777775
107,2008-12,1314278.749395184,1201066.161616158
108,2009-01,1344358.829759759,1165236.868686866
109,2009-02,1252814.016803927,1179991.414141412
110,2009-03,1226998.926780717,1358118.686868682
111,2009-04,1221676.169433316,1274227.777777774
112,2009-05,1239760.684099429,1345654.040404036
113,2009-06,1293868.29945213,1377319.696969692
114,2009-07,1348001.853046327,1478458.585858579
115,2009-08,1563994.456201524,1715056.565656558
116,2009-09,1205742.020222246,1176731.818181815
117,2009-10,1295417.710005895,1194037.373737371
118,2009-11,1289157.150004939,1142304.545454542
119,2009-12,1345446.179630312,1241935.353535349
120,2010-01,1324865.251778823,1145046.464646463
121,2010-02,1285466.798542295,1214864.141414139
122,2010-03,1487716.190109453,1652707.070707063
123,2010-04,1455032.565354166,1517985.353535347
124,2010-05,1435404.248198475,1545186.363636357
125,2010-06,1487858.962553336,1567770.7070707
126,2010-07,1522560.57886455,1658727.77777777
127,2010-08,1506548.966502905,1649328.282828276
128,2010-09,1555812.634712609,1517957.070707065
129,2010-10,1614526.448285091,1500875.757575752
130,2010-11,1616144.147290445,1446304.040404035
131,2010-12,1647760.400332073,1534160.101010095
132,2011-01,1632154.153274367,1409573.232323227
133,2011-02,1670681.896813646,1578620.202020196
134,2011-03,1686261.28898006,1880184.343434338
135,2011-04,1661038.860931304,1730308.080808074
136,2011-05,1607833.358076327,1722780.303030296
137,2011-06,1626639.41910894,1694946.969696963
138,2011-07,1606822.659145811,1738259.090909084
139,2011-08,1673818.103969968,1831559.59595959
140,2011-09,1743528.292788766,1699487.878787873
141,2011-10,1783597.269635567,1674696.969696963
142,2011-11,1808413.383491014,1634143.939393933
143,2011-12,1849190.856207205,1730175.252525246
144,2012-01,1802927.144783398,1562288.888888882
145,2012-02,1939645.262908397,1826411.111111106
146,2012-03,1863654.512078514,2082901.010101008
147,2012-04,1842363.687591027,1910535.858585854
148,2012-05,1890564.728517898,2021998.484848482
149,2012-06,1885970.858146977,1946365.656565652
150,2012-07,1864797.767314353,2005967.676767673
151,2012-08,1921361.719566918,2105290.909090906
152,2012-09,1892610.749147184,1846418.181818176
153,2012-10,1936266.291130416,1835289.898989895
154,2012-11,1984166.783333542,1805771.717171712
155,2012-12,1953677.379055959,1831942.424242419
156,2013-01,2025881.689282703,1760979.292929287
157,2013-02,2015304.689472996,1888825.252525247
158,2013-03,1976817.642002482,2207083.838383837
159,2013-04,2069540.4759382,2135960.606060604
160,2013-05,2099076.747477443,2248424.242424241
161,2013-06,2071094.59000495,2125745.454545451
162,2013-07,2134020.127234553,2284259.09090909
163,2013-08,2125106.628996792,2333267.676767677
164,2013-09,2049766.406660303,2006474.242424239
165,2013-10,2086132.147069535,1987477.777777774
166,2013-11,2127726.679883802,1945213.636363631
167,2013-12,2079038.916206033,1951045.454545452
168,2014-01,2118715.980521616,1852593.43434343
169,2014-02,2132933.718883461,1987716.161616157
170,2014-03,2156704.297490113,2401306.060606061
171,2014-04,2168338.584590204,2221909.595959595
172,2014-05,2205922.788324116,2365841.414141415
173,2014-06,2152059.986228802,2206622.222222219
174,2014-07,2200928.056443801,2353641.414141413
175,2014-08,2205881.14825999,2422806.565656565
176,2014-09,2241787.376143437,2203883.333333331
177,2014-10,2234011.735173818,2133258.080808078
178,2014-11,2176940.164728693,1996524.747474743
179,2014-12,2253607.490088616,2118137.373737372
180,2015-01,2272779.179815944,1995059.090909087
181,2015-02,2230217.603605401,2069097.474747473
182,2015-03,2264866.574664078,2517784.84848485
183,2015-04,2288916.916198025,2328497.474747475
184,2015-05,2276846.44874189,2445860.101010101
185,2015-06,2374168.279094759,2436257.575757576
186,2015-07,2383884.575029428,2543460.1010101
187,2015-08,2351782.593682782,2577875.757575758
188,2015-09,2384063.493734898,2349205.050505049
189,2015-10,2371183.988692383,2271258.080808079
190,2015-11,2303139.032084115,2120407.070707067
191,2015-12,2331047.091492142,2200160.606060604
192,2016-01,2307039.891418427,2031783.838383835
193,2016-02,2541353.286872374,2347513.636363636
194,2016-03,2290595.638088772,2547354.040404041
195,2016-04,2367507.472424479,2394339.393939395
196,2016-05,2292780.289973602,2463309.595959596
197,2016-06,2343554.938203285,2404572.222222221
198,2016-07,2320563.652274768,2468369.191919191
199,2016-08,2389627.978848539,2608770.202020204
200,2016-09,2387635.988268523,2350652.525252525
201,2016-10,2328500.785756168,2237853.535353534
202,2016-11,2359239.509639432,2187129.797979797
203,2016-12,2445695.101642034,2322834.343434344
204,2017-01,2338432.141622469,2069219.191919188
205,2017-02,2348355.691691517,2160525.252525251
206,2017-03,2340015.699404956,2602327.272727273
207,2017-04,2277984.642105027,2290882.828282826
208,2017-05,2344545.778088179,2519180.303030304
209,2017-06,2325847.999303691,2382009.09090909
210,2017-07,2289313.246558999,2431282.828282828
211,2017-08,2256009.124228744,2453083.333333333
212,2017-09,2318519.693198283,2277344.444444444
213,2017-10,2305070.933079458,2223533.333333333
214,2017-11,2354758.988824787,2190039.393939391
215,2017-12,2324791.549969461,2217431.313131311
216,2018-01,2348786.215727057,2088285.858585855
217,2018-02,2355573.164557414,2158995.454545453
218,2018-03,2353490.827767628,2624861.616161618
219,2018-04,2309471.695004255,2322465.656565655
220,2018-05,2372130.883922289,2549138.383838384
221,2018-06,2367922.7769183,2422228.787878789
222,2018-07,2322037.128192095,2467357.070707069
223,2018-08,2376698.131126915,2562728.787878789
224,2018-09,2302732.634899499,2251091.414141412
225,2018-10,2390745.34234468,2309637.878787878
226,2018-11,2390001.064302748,2227339.393939392
227,2018-12,2384936.470809514,2278150
228,2019-01,2331961.167115535,2082969.19191919
229,2019-02,2359204.297711064,2159311.616161615
230,2019-03,2381321.258642215,2669191.91919192
231,2019-04,2428003.854833998,2455205.05050505
232,2019-05,2417796.298829081,2595768.181818183
233,2019-06,2353810.477442767,2408042.92929293
234,2019-07,2447378.119767168,2593526.767676769
235,2019-08,2501107.914888015,2675222.222222224
236,2019-09,2428184.425074945,2368105.050505049
237,2019-10,2454571.507502349,2375354.545454545
238,2019-11,2551364.285498606,2364970.202020202
239,2019-12,2479943.248236092,2363792.424242422
240,2020-01,2479135.060624682,2223792.929292927
241,2020-02,2556335.098300545,2344719.696969696
242,2020-03,1783997.40029387,2012137.878787876
243,2020-04,1566152.048727015,1598789.898989893
244,2020-05,2253934.981741541,2417240.404040404
245,2020-06,2549754.419105868,2615240.90909091
246,2020-07,2456099.318351132,2587097.979797983
247,2020-08,2373466.456804748,2519617.171717173
248,2020-09,2486888.602926199,2422643.93939394
249,2020-10,2496654.995341103,2409903.535353535
250,2020-11,2347334.113605988,2162621.21212121
251,2020-12,2477234.904707035,2357456.060606059
252,2021-01,2516446.299488005,2267375.252525251
253,2021-02,2343767.027993411,2166208.080808079
254,2021-03,2826225.894563707,3193812.121212125
255,2021-04,2825052.982272306,2908136.363636366
256,2021-05,2638870.7277811,2829810.606060608
257,2021-06,2677131.932545559,2746129.292929295
258,2021-07,2547680.821174221,2667401.515151518
259,2021-08,2396014.097987372,2534874.242424242
260,2021-09,2405930.637674976,2343681.818181818
261,2021-10,2391017.449358646,2303314.646464644
262,2021-11,2447953.141136423,2238671.212121211
263,2021-12,2395568.947064252,2277727.272727272
264,2022-01,2338483.659818563,2107083.33333333
265,2022-02,2364176.885863592,2199636.868686867
266,2022-03,2374445.517097871,2691646.96969697
267,2022-04,2367522.265150359,2456528.282828282
268,2022-05,2229085.295755801,2395442.424242424
269,2022-06,2237587.379585706,2296561.616161615
270,2022-07,2093991.380526703,2177555.050505049
271,2022-08,2185456.387392772,2304009.595959594
272,2022-09,2183491.851781771,2121761.616161614
273,2022-10,2140035.982285258,2053060.101010099
274,2022-11,2067289.203689346,1889329.292929288
275,2022-12,2018735.471362569,1924185.353535349
276,2023-01,2134056.013994136,1919458.585858582
277,2023-02,2070012.142345058,1936879.29292929
278,2023-03,2007206.499985384,2276707.575757574
279,2023-04,1965744.900797336,2049871.212121209
280,2023-05,2054264.131186633,2212636.363636362
281,2023-06,2078801.407249094,2129688.888888886
282,2023-07,2028866.450293936,2097431.313131311
283,2023-08,2085747.342577592,2199743.939393938
284,2023-09,2098899.2288934,2032334.848484846
285,2023-10,2022697.598479199,1938988.38383838
286,2023-11,2039248.581128235,1866639.39393939
287,2023-12,2088021.925745887,1995565.15151515
288,2024-01,2050360.337326264,1840692.42424242
289,2024-02,2138531.580996924,2004107.575757572
290,2024-03,2006064.636050202,2275858.585858584
291,2024-04,2057381.310554941,2150332.828282825
292,2024-05,2102359.779847006,2267456.060606059
293,2024-06,1993063.497760277,2040285.858585856
294,2024-07,2161537.516079932,2222394.949494948
295,2024-08,2131925.574642524,2253303.535353534
296,2024-09,2073394.041230282,2004056.565656563
297,2024-10,2200316.01285249,2106057.070707068
298,2024-11,2246488.465047026,2061611.341481738
299,2024-12,2248280.432041325,2152557.209718032
300,2025-01,2147022.426932718,1931161.832490608
