month,date,vol,vol_unadj
72,2006-01,35203805490.68081,30346965352.52524
73,2006-02,33441359056.77436,30693843257.07072
74,2006-03,34815906091.76418,38281792663.13131
75,2006-04,34286619748.41355,35134539365.15151
76,2006-05,34427176635.35103,37943788331.81817
77,2006-06,35930165949.73719,38379507975.75756
78,2006-07,36607027098.07027,40457594106.06062
79,2006-08,36349186580.60984,40557869828.28284
80,2006-09,35825198183.86118,35378301189.39393
81,2006-10,36288974026.55505,33213107732.32322
82,2006-11,35863262669.18549,31399998288.88889
83,2006-12,35227554235.05318,32683919921.21215
84,2007-01,35739847063.06744,30747812043.43435
85,2007-02,36370054099.01518,33409588948.48487
86,2007-03,36212500380.33871,39830656086.36363
87,2007-04,35228112592.1912,36157315337.87879
88,2007-05,36206486536.59835,39794567936.86868
89,2007-06,35095550850.4873,37468250426.76768
90,2007-07,35026770265.79979,38732295490.9091
91,2007-08,35728812926.56982,39745691475.25252
92,2007-09,35354141229.35521,34888020955.55557
93,2007-10,38205156227.21377,35065885603.0303
94,2007-11,36146302905.148,31686231470.20203
95,2007-12,35205795056.18067,32831219349.49496
96,2008-01,34905858839.84043,29900137343.9394
97,2008-02,34989165455.72432,32263033279.29295
98,2008-03,33305863583.35295,36667260614.64649
99,2008-04,33805778218.04764,34810936281.31313
100,2008-05,32738461631.05876,35825456328.28284
101,2008-06,30827880480.80357,32792649712.62629
102,2008-07,29222966076.51537,32193950240.90909
103,2008-08,28449455821.15387,31466616983.83837
104,2008-09,27584016911.49514,27225814795.9596
105,2008-10,24927178096.64018,23002579582.32324
106,2008-11,22914318064.27747,20170984389.39394
107,2008-12,23588486404.43263,22240317356.56565
108,2009-01,24394069265.82841,20790813096.9697
109,2009-02,22392639844.65235,20717126501.0101
110,2009-03,22196820360.00898,24463873380.80808
111,2009-04,22130074179.42863,22875452580.30302
112,2009-05,22573273884.42974,24569133347.9798
113,2009-06,23684619613.20469,25048690622.72728
114,2009-07,24321170245.1205,26601868465.15151
115,2009-08,28174793318.98607,30958653992.92929
116,2009-09,22218508754.40765,21918914790.9091
117,2009-10,24121943480.85006,22404632165.15153
118,2009-11,24084184636.34717,21377438071.21212
119,2009-12,25261317773.35185,24102218518.68688
120,2010-01,24870643979.50661,21189591754.0404
121,2010-02,24133155748.93871,22347131175.75758
122,2010-03,28200781229.3739,31140973904.54546
123,2010-04,27415816673.10308,28345208695.45454
124,2010-05,27255991216.27427,29487505111.61617
125,2010-06,28066554529.50353,29461282736.36362
126,2010-07,28843042720.86575,31317764253.03032
127,2010-08,28330081879.8862,30980369083.8384
128,2010-09,29199382350.98801,28767701844.44445
129,2010-10,30568770290.55618,28608203513.1313
130,2010-11,30540662250.97271,27401588315.15151
131,2010-12,31070836089.42547,29951530520.202
132,2011-01,31355575721.26063,26782569187.87878
133,2011-02,31836771977.04029,29378585948.9899
134,2011-03,31891983754.25542,35290639479.79797
135,2011-04,31641854693.58105,32660808245.95958
136,2011-05,30806277354.32981,33214559372.72726
137,2011-06,31343585694.45906,32615164679.798
138,2011-07,31402342898.5196,33893774118.18181
139,2011-08,32300606484.90325,35235104801.51514
140,2011-09,33723990358.57582,33164551734.84849
141,2011-10,34629057371.43171,32670795740.90909
142,2011-11,35015378029.52158,31746211118.18182
143,2011-12,36208231869.42815,35063534674.74745
144,2012-01,34989150699.77142,30101198105.05051
145,2012-02,37713851523.84972,34591388441.41414
146,2012-03,36279745500.05656,40203971933.33334
147,2012-04,36067465396.79384,37061011741.41415
148,2012-05,36954604571.61279,39776147323.23232
149,2012-06,36862456139.30533,38059563648.98989
150,2012-07,36292139741.33538,38988324883.33333
151,2012-08,37543706802.64404,40955028141.91919
152,2012-09,36877619891.33703,36309338924.74748
153,2012-10,37917579717.15479,36048655505.55556
154,2012-11,39017164930.77071,35675219250.00001
155,2012-12,38812313547.99149,37638714041.41415
156,2013-01,40190718984.50027,34759132187.37374
157,2013-02,39709081650.39589,36177042532.82828
158,2013-03,38774813984.17776,42890105925.25255
159,2013-04,41049619726.50938,42004920850.50504
160,2013-05,41622540361.97379,44856453185.35353
161,2013-06,41537959544.40038,42638520190.90908
162,2013-07,42451816567.70601,45412517927.27272
163,2013-08,42347868760.61274,46319760946.96969
164,2013-09,40521942840.52896,40066651033.83836
165,2013-10,41872372137.26331,39961158743.43437
166,2013-11,43076801715.40293,39626890897.9798
167,2013-12,41825824543.47383,40554763155.55556
168,2014-01,42887244277.31821,37333655519.69697
169,2014-02,43185814810.99135,39075584354.54546
170,2014-03,44128589215.51579,48645115445.95961
171,2014-04,44322873596.93785,45063357169.19192
172,2014-05,45340577020.21243,48868674261.11111
173,2014-06,44147450434.13331,45237929909.0909
174,2014-07,45334056913.95232,48441058484.8485
175,2014-08,45638109426.0706,49961026128.78789
176,2014-09,45601596339.09145,45364202070.70708
177,2014-10,46084443562.07293,44063554192.92931
178,2014-11,45022674089.63213,41646688137.37374
179,2014-12,46418827361.72828,45066005411.61618
180,2015-01,47458564831.2841,41436017040.90908
181,2015-02,46385580121.4328,41786397690.40405
182,2015-03,47403350557.90553,52102841456.06061
183,2015-04,48231582461.84138,48687479363.13132
184,2015-05,48064433010.39931,51828635397.97981
185,2015-06,50123937512.58096,51336780521.71717
186,2015-07,50297707373.73144,53619377110.10101
187,2015-08,49737224379.77971,54390778915.15151
188,2015-09,50532043420.38964,50423636309.09093
189,2015-10,50016550343.52058,48002598940.40406
190,2015-11,49054547088.63869,45652364516.16164
191,2015-12,49402488184.69889,48177378971.71716
192,2016-01,49277268062.01369,43126758713.63635
193,2016-02,53856559067.62856,48351199546.9697
194,2016-03,48734241453.34097,53466279381.81818
195,2016-04,50984366375.71993,51139553278.78789
196,2016-05,49110577251.19884,52890982833.33335
197,2016-06,50549201047.35707,51746466899.99998
198,2016-07,50758934657.7644,53946457420.20202
199,2016-08,52076494811.18812,56748950288.38387
200,2016-09,52156063682.3138,52047273160.10102
201,2016-10,50912680293.23318,49062364825.75757
202,2016-11,51116959944.03972,47984211160.60607
203,2016-12,53152057192.15298,52196593730.30307
204,2017-01,50522994202.95651,44336739496.46465
205,2017-02,51367465589.7615,45996143879.79797
206,2017-03,50688756257.23302,55475831413.63634
207,2017-04,49557352769.32243,49397774125.25253
208,2017-05,50561443537.79315,54454501616.66667
209,2017-06,50444350347.44255,51568373464.64646
210,2017-07,49952124015.15273,52957179112.62624
211,2017-08,48889820141.1842,53103768614.64645
212,2017-09,50899943851.40882,50707576043.43436
213,2017-10,50910059458.03351,49309947682.32322
214,2017-11,52365812256.87016,49339697937.37375
215,2017-12,52056215434.05975,51345788359.0909
216,2018-01,52230907227.85959,45935965569.69693
217,2018-02,52332857993.04869,46737130347.47476
218,2018-03,52198920477.37578,57180070712.12122
219,2018-04,50910952759.78154,50750783892.92928
220,2018-05,52325962499.37469,56353850380.30302
221,2018-06,52502937835.85431,53726817060.60604
222,2018-07,51315546571.5707,54398863737.87881
223,2018-08,52845173580.85886,56941066996.46466
224,2018-09,51531132277.1354,51131781810.60607
225,2018-10,53325987275.27721,51768361141.41411
226,2018-11,53997498124.09534,50949914609.59595
227,2018-12,53830945011.12083,53092304035.35356
228,2019-01,52715819687.14156,46514473534.34344
229,2019-02,52951583553.04244,47290445891.9192
230,2019-03,53796162936.92049,59130069165.65654
231,2019-04,54692017321.79774,54811262272.22222
232,2019-05,54808963335.86964,58966715909.59595
233,2019-06,53384630772.68668,54807192953.53539
234,2019-07,55615334494.97599,58809029154.54546
235,2019-08,56902237261.70702,60880020203.03027
236,2019-09,55154399484.34659,54615125294.94949
237,2019-10,56056916255.7278,54540640321.21211
238,2019-11,58286861665.64382,54592156196.46463
239,2019-12,57073321526.59883,56024995862.62627
240,2020-01,57090377255.97155,50574842109.09091
241,2020-02,58980242367.55708,52843627443.43435
242,2020-03,42199534927.62532,46619921279.79797
243,2020-04,39886630268.95309,40362599638.88889
244,2020-05,54422989728.08745,58454149761.11114
245,2020-06,59800558777.33675,61759716726.26262
246,2020-07,58368865699.91225,61445516725.25249
247,2020-08,57383992272.98913,60976532178.78786
248,2020-09,60535997712.72168,59871851358.08082
249,2020-10,61476554114.11928,59629452202.0202
250,2020-11,57937702683.70792,53804729440.90907
251,2020-12,61312803501.12212,59945267405.55555
252,2021-01,62690987394.04072,55842701150.50507
253,2021-02,59086186967.67565,53402573407.57575
254,2021-03,70740972535.50645,78247193409.09088
255,2021-04,72496354112.42079,73993434997.47475
256,2021-05,69331511087.69629,74423557416.16162
257,2021-06,71473256593.40288,73972282207.07071
258,2021-07,69127150901.6413,72412671560.10103
259,2021-08,65369656026.63161,69244274138.88892
260,2021-09,66280383723.26343,65539697274.2424
261,2021-10,66765430392.43624,64613623643.9394
262,2021-11,69288912611.90532,63766234273.73737
263,2021-12,68361648354.81276,66710315116.66666
264,2022-01,69002270181.22736,61506297437.87876
265,2022-02,70324019022.85199,64026136676.76766
266,2022-03,70232038037.73837,77931257725.75755
267,2022-04,70143144772.84392,72289124316.66664
268,2022-05,66639461940.32967,71465142681.3131
269,2022-06,68171473030.2608,70673286086.36365
270,2022-07,64356366007.16866,67067421730.80809
271,2022-08,67192795541.86723,70906425695.95959
272,2022-09,67326055357.59068,66361253158.58588
273,2022-10,65626828142.21559,63209088042.92931
274,2022-11,62734381864.8175,57667103257.5758
275,2022-12,61726086574.64608,60393666478.28284
276,2023-01,64789474265.0035,57739312073.73737
277,2023-02,62883516689.23562,57622550617.67677
