month,date,vol,vol_unadj,age_group
72,2006-01,12914347641.30616,11158882068.68686,Age 45-64
72,2006-01,13161546771.85811,11340432425.75757,Age 30-44
72,2006-01,2113518848.263121,1949370928.787879,Age 65 and older
72,2006-01,6576307235.972445,5536531642.424244,Younger than 30
73,2006-02,12155455721.41744,11072040477.77778,Age 45-64
73,2006-02,12566963845.07824,11602368873.23233,Age 30-44
73,2006-02,2039189756.388637,1919729805.050505,Age 65 and older
73,2006-02,6349322752.263313,5782887733.333334,Younger than 30
74,2006-03,12680716237.39472,13897157881.81818,Age 45-64
74,2006-03,13293393558.19596,14615857000.50504,Age 30-44
74,2006-03,2182062984.007982,2510489708.080808,Age 65 and older
74,2006-03,6490997745.545587,6908961465.656565,Younger than 30
75,2006-04,12491321458.96306,12660309634.84848,Age 45-64
75,2006-04,12964827185.79482,13372723815.15152,Age 30-44
75,2006-04,2123024969.864963,2248084877.272726,Age 65 and older
75,2006-04,6483502922.576465,6557793699.999998,Younger than 30
76,2006-05,12485272815.79857,13825947317.17172,Age 45-64
76,2006-05,13015685268.37548,14355926066.66666,Age 30-44
76,2006-05,2096284033.378652,2258105113.636364,Age 65 and older
76,2006-05,6561092306.518085,7183507667.171719,Younger than 30
77,2006-06,13060138369.9105,14042516944.44444,Age 45-64
77,2006-06,13609324905.58344,14354440976.76768,Age 30-44
77,2006-06,2234054028.261841,2433186061.111111,Age 65 and older
77,2006-06,6703704068.41306,7205244110.606058,Younger than 30
78,2006-07,13341619616.28973,14945454897.47475,Age 45-64
78,2006-07,13783275084.00913,15052075990.90909,Age 30-44
78,2006-07,2291473163.549914,2536440551.010099,Age 65 and older
78,2006-07,6794415288.159767,7450449589.898992,Younger than 30
79,2006-08,13257077587.06785,14993890518.68686,Age 45-64
79,2006-08,13621052468.82002,15091687239.39394,Age 30-44
79,2006-08,2304632549.930085,2521721095.454545,Age 65 and older
79,2006-08,6810195790.611357,7580992467.676762,Younger than 30
80,2006-09,12930725547.97632,12730047489.39394,Age 45-64
80,2006-09,13600446655.53464,13225162746.46464,Age 30-44
80,2006-09,2272098704.905947,2235038203.535354,Age 65 and older
80,2006-09,6971893567.694384,6907856196.969695,Younger than 30
81,2006-10,13232720371.15805,11993573710.10101,Age 45-64
81,2006-10,13326868631.72469,12453018974.24243,Age 30-44
81,2006-10,2225518740.180512,2010320437.878789,Age 65 and older
81,2006-10,6721203590.675052,6518678046.46465,Younger than 30
82,2006-11,13163433460.6046,11653319131.81819,Age 30-44
82,2006-11,13260874319.60024,11329886190.90909,Age 45-64
82,2006-11,2359437451.466908,1925260990.909091,Age 65 and older
82,2006-11,6839237104.528317,6266031811.61616,Younger than 30
83,2006-12,12975029004.02795,12128255717.17172,Age 30-44
83,2006-12,13010653955.03266,12210187962.62626,Age 45-64
83,2006-12,2228708720.826035,1909235121.717171,Age 65 and older
83,2006-12,6718997830.008154,6158287607.070709,Younger than 30
84,2007-01,13004593334.5802,11206308534.34344,Age 45-64
84,2007-01,13215576089.01957,11389817602.0202,Age 30-44
84,2007-01,2307466472.140488,2125652576.767677,Age 65 and older
84,2007-01,6916762083.172993,5802825169.69697,Younger than 30
85,2007-02,13284540624.00656,12272629254.04041,Age 30-44
85,2007-02,13431647472.31281,12248475012.12121,Age 45-64
85,2007-02,2352340619.632659,2216363012.121215,Age 65 and older
85,2007-02,7031938165.296564,6395851590.404042,Younger than 30
86,2007-03,13146651508.75945,14457356458.08081,Age 30-44
86,2007-03,13248523726.12798,14526580126.76767,Age 45-64
86,2007-03,2277609122.832803,2621240675.757575,Age 65 and older
86,2007-03,6900802732.366241,7376401768.181822,Younger than 30
87,2007-04,12922840868.59911,13132674785.35353,Age 45-64
87,2007-04,13108227040.62917,13522809253.53535,Age 30-44
87,2007-04,2248624923.003198,2388799405.050504,Age 65 and older
87,2007-04,6697941915.925052,6783419090.909088,Younger than 30
88,2007-05,13314645372.66635,14646210692.9293,Age 30-44
88,2007-05,13316406845.40181,14701836879.79798,Age 45-64
88,2007-05,2489105660.579914,2674632886.868687,Age 65 and older
88,2007-05,6826525366.701336,7461086976.262628,Younger than 30
89,2007-06,12710047479.86089,13413854634.34344,Age 30-44
89,2007-06,13209169235.92817,14170815514.64647,Age 45-64
89,2007-06,2222798104.122856,2424461189.393939,Age 65 and older
89,2007-06,6679937860.085419,7174196169.696972,Younger than 30
90,2007-07,12817137498.13472,14012137845.45455,Age 30-44
90,2007-07,12975735797.04524,14543654809.59595,Age 45-64
90,2007-07,2401826215.83367,2652622074.242424,Age 65 and older
90,2007-07,6611006844.958857,7248236338.888889,Younger than 30
91,2007-08,13004443010.40702,14360449830.80808,Age 30-44
91,2007-08,13200462025.32306,14876901476.26261,Age 45-64
91,2007-08,2435665472.709402,2656488817.676768,Age 65 and older
91,2007-08,6797522083.793011,7555149624.747476,Younger than 30
92,2007-09,13034532226.54414,12666149331.31312,Age 30-44
92,2007-09,13199386829.6513,12997129524.74748,Age 45-64
92,2007-09,2464464568.159521,2418483123.737373,Age 65 and older
92,2007-09,6599228603.188063,6547058494.949496,Younger than 30
93,2007-10,13635668729.09468,12760761718.68687,Age 30-44
93,2007-10,14148176283.93385,12854850909.59596,Age 45-64
93,2007-10,2705283827.839025,2446351475.757575,Age 65 and older
93,2007-10,6961009735.669615,6755737348.484848,Younger than 30
94,2007-11,13145905572.08457,11654100706.56566,Age 30-44
94,2007-11,13390173362.81668,11476743324.74747,Age 45-64
94,2007-11,2536399587.916653,2078037730.303032,Age 65 and older
94,2007-11,6782853316.895539,6205298352.020202,Younger than 30
95,2007-12,12904364914.95839,12110076825.25252,Age 30-44
95,2007-12,13258132136.85454,12514289896.46465,Age 45-64
95,2007-12,2583182089.225342,2223026639.39394,Age 65 and older
95,2007-12,6237247381.725944,5734984710.10101,Younger than 30
96,2008-01,12385597491.90627,10652352868.18182,Age 30-44
96,2008-01,13450847230.12615,11528433783.83838,Age 45-64
96,2008-01,2429343546.802991,2237664067.171717,Age 65 and older
96,2008-01,6370367225.038111,5298334675.252524,Younger than 30
97,2008-02,12724713722.65019,11800556813.13132,Age 30-44
97,2008-02,13340062252.23128,12216461467.17172,Age 45-64
97,2008-02,2458509795.874042,2323406497.979798,Age 65 and older
97,2008-02,6293038599.479333,5736317094.949492,Younger than 30
98,2008-03,11999058091.0008,13200559183.83838,Age 30-44
98,2008-03,12889782841.77072,14148893807.57576,Age 45-64
98,2008-03,2407606984.448658,2764498287.373737,Age 65 and older
98,2008-03,5909803420.558936,6364886691.91919,Younger than 30
99,2008-04,11986023556.27481,12393261932.82828,Age 30-44
99,2008-04,13113681005.87929,13382134454.04041,Age 45-64
99,2008-04,2602829657.886119,2774744673.232324,Age 65 and older
99,2008-04,5944912038.726356,6043148729.292929,Younger than 30
100,2008-05,11657377470.01106,12774097745.95959,Age 30-44
100,2008-05,12782272876.0486,14038105640.40404,Age 45-64
100,2008-05,2421659210.2333,2605091461.111111,Age 65 and older
100,2008-05,5697010754.209036,6199843858.58586,Younger than 30
101,2008-06,10989863374.54418,11568946319.19191,Age 30-44
101,2008-06,11945519483.65209,12741529656.56566,Age 45-64
101,2008-06,2304382532.759814,2509214331.818182,Age 65 and older
101,2008-06,5440020932.43457,5825026402.020205,Younger than 30
102,2008-07,10328056876.09492,11261242093.43434,Age 30-44
102,2008-07,11329425180.70015,12647605891.91919,Age 45-64
102,2008-07,2164088512.062631,2367885961.11111,Age 65 and older
102,2008-07,5246061480.019023,5738895788.38384,Younger than 30
103,2008-08,10056422661.60483,11044387387.37374,Age 30-44
103,2008-08,11203948722.67769,12536166631.81818,Age 45-64
103,2008-08,2118064344.592116,2295720183.333334,Age 65 and older
103,2008-08,4900554215.913941,5430185698.484852,Younger than 30
104,2008-09,10004342420.24884,9719829407.070709,Age 30-44
104,2008-09,10859266917.12843,10710707154.0404,Age 45-64
104,2008-09,2104621047.580609,2061230260.606062,Age 65 and older
104,2008-09,4619926140.637036,4589342764.646463,Younger than 30
105,2008-10,1964835708.986685,1789890040.404042,Age 65 and older
105,2008-10,4348169908.38607,4224415152.0202,Younger than 30
105,2008-10,8524626916.832642,8000080107.070716,Age 30-44
105,2008-10,9671109716.158873,8840535198.989899,Age 45-64
106,2008-11,1918237826.527628,1579018848.9899,Age 65 and older
106,2008-11,3919001955.819748,3590407718.181818,Younger than 30
106,2008-11,7897110379.034683,7028637556.060609,Age 30-44
106,2008-11,9087222561.160608,7842134410.101014,Age 45-64
107,2008-12,1937076592.49498,1688625918.686869,Age 65 and older
107,2008-12,3973465717.811485,3675257570.707071,Younger than 30
107,2008-12,8132979283.180309,7700803072.727272,Age 30-44
107,2008-12,9362413871.131189,8945772261.111101,Age 45-64
108,2009-01,10015866561.97815,8537761464.646467,Age 45-64
108,2009-01,2101088264.647639,1933559869.696971,Age 65 and older
108,2009-01,3892898536.860199,3199487835.858587,Younger than 30
108,2009-01,8168520816.646725,6999928889.393934,Age 30-44
109,2009-02,2083156215.377913,1968490154.040404,Age 65 and older
109,2009-02,3543339098.248456,3241315288.888886,Younger than 30
109,2009-02,7644831305.458995,7117056983.838389,Age 30-44
109,2009-02,9030823750.094479,8299014760.606061,Age 45-64
110,2009-03,2075701421.183766,2376956748.484849,Age 65 and older
110,2009-03,3530551222.887706,3843552481.31313,Younger than 30
110,2009-03,7515384633.818746,8277015007.575759,Age 30-44
110,2009-03,8977177861.715603,9863845416.161612,Age 45-64
111,2009-04,2089164749.744503,2233370746.969697,Age 65 and older
111,2009-04,3543791348.928356,3616256358.08081,Younger than 30
111,2009-04,7493424324.047716,7766594950.505047,Age 30-44
111,2009-04,8928996507.756735,9159393869.191919,Age 45-64
112,2009-05,2084947555.20283,2251636843.434343,Age 65 and older
112,2009-05,3553140706.39388,3841145224.242423,Younger than 30
112,2009-05,7536162364.745973,8223854788.888889,Age 30-44
112,2009-05,9324673250.443453,10168680854.04041,Age 45-64
113,2009-06,2343050319.904241,2535956813.636364,Age 65 and older
113,2009-06,3605456716.241645,3836852674.747475,Younger than 30
113,2009-06,7908444949.59551,8295841043.434341,Age 30-44
113,2009-06,9731449043.725454,10295784024.24242,Age 45-64
114,2009-07,10245832887.4929,11342226137.87879,Age 45-64
114,2009-07,2323630248.098114,2505197375.252525,Age 65 and older
114,2009-07,3554852423.126892,3878945850.50505,Younger than 30
114,2009-07,8076931486.465548,8760174124.242424,Age 30-44
115,2009-08,12439607104.95659,13798457264.14141,Age 45-64
115,2009-08,2822230611.249887,3046180588.383837,Age 65 and older
115,2009-08,3788790131.99649,4186628115.151514,Younger than 30
115,2009-08,8985740568.940405,9807985314.646463,Age 30-44
116,2009-09,2004994171.134335,1957096526.767678,Age 65 and older
116,2009-09,3395934135.355684,3377073121.717173,Younger than 30
116,2009-09,7753446173.176762,7531156919.191919,Age 30-44
116,2009-09,9083927635.223331,8970524352.020199,Age 45-64
117,2009-10,2120530287.58148,1949113392.929293,Age 65 and older
117,2009-10,3592505026.50277,3490595975.757576,Younger than 30
117,2009-10,8211613654.98491,7716660625.757573,Age 30-44
117,2009-10,9960860577.608942,9164641200.505045,Age 45-64
118,2009-11,2266556060.959296,1885099038.383838,Age 65 and older
118,2009-11,3578582564.700411,3289965378.282829,Younger than 30
118,2009-11,8377105340.708325,7510238108.080812,Age 30-44
118,2009-11,9858791243.811182,8618857952.525251,Age 45-64
119,2009-12,10252693996.35564,9953663612.626263,Age 45-64
119,2009-12,2438246139.339408,2156008621.717173,Age 65 and older
119,2009-12,3937343696.456659,3664831201.0101,Younger than 30
119,2009-12,8588372157.270818,8202864651.0101,Age 30-44
120,2010-01,10104033672.33657,8600069113.131319,Age 45-64
120,2010-01,2251195336.114,2083962801.010102,Age 65 and older
120,2010-01,3717820438.33411,3029509880.303032,Younger than 30
120,2010-01,8588245448.088882,7370019920.707075,Age 30-44
121,2010-02,2165794599.671728,2043149032.323232,Age 65 and older
121,2010-02,3750392195.777918,3446142713.636364,Younger than 30
121,2010-02,8373298098.554099,7813588642.424247,Age 30-44
121,2010-02,9739347105.324516,8954311699.494955,Age 45-64
122,2010-03,11662507636.70385,12829345127.27273,Age 45-64
122,2010-03,2537020266.326125,2892222968.686869,Age 65 and older
122,2010-03,4097238212.773402,4504243412.121209,Younger than 30
122,2010-03,9786781363.878103,10789403307.57576,Age 30-44
123,2010-04,11362101364.48634,11654087659.0909,Age 45-64
123,2010-04,2679070208.520023,2853934121.212121,Age 65 and older
123,2010-04,4099369324.860285,4193060407.07071,Younger than 30
123,2010-04,9193409515.65321,9542707149.494951,Age 30-44
124,2010-05,11071609654.15645,11976548420.70707,Age 45-64
124,2010-05,2584278057.984668,2801472213.131313,Age 65 and older
124,2010-05,4174673540.16179,4484933168.181817,Younger than 30
124,2010-05,9328707722.561237,10127131768.18182,Age 30-44
125,2010-06,11296597158.55731,11852202348.9899,Age 45-64
125,2010-06,2693489001.785833,2878267067.171717,Age 65 and older
125,2010-06,4276284943.341557,4511594628.282828,Younger than 30
125,2010-06,9694328857.137787,10116034340.90909,Age 30-44
126,2010-07,11611376500.64931,12744328698.9899,Age 45-64
126,2010-07,2746019325.22317,2923525972.222223,Age 65 and older
126,2010-07,4391912421.60775,4773706272.222221,Younger than 30
126,2010-07,9971205097.000889,10752757455.05051,Age 30-44
127,2010-08,11409429456.76313,12569210073.23233,Age 45-64
127,2010-08,2688658502.290492,2902699746.464646,Age 65 and older
127,2010-08,4389143153.992342,4842734755.050505,Younger than 30
