month,date,vol,vol_unadj,income_level_group
123,2010-04,11313055244.57238,11456198716.66667,High
123,2010-04,11615476723.23159,11997909776.76769,Middle
123,2010-04,3860949621.003278,4025361724.747475,Moderate
123,2010-04,616736012.942023,652308020.7070706,Low
124,2010-05,11286940515.94341,11990273209.09091,High
124,2010-05,11741178581.94091,12457459851.51515,Middle
124,2010-05,3807281849.70623,4098191483.838383,Moderate
124,2010-05,634241222.4193072,697999219.1919196,Low
125,2010-06,11743693535.64822,11958392089.39393,High
125,2010-06,12188505955.8321,12578691479.79798,Middle
125,2010-06,3874357055.248843,3972290682.323231,Moderate
125,2010-06,617899890.3451152,644150271.7171715,Low
126,2010-07,12001575954.79605,12683536533.33333,High
126,2010-07,12430217059.71455,13282021277.27273,Middle
126,2010-07,4050570878.295011,4364481600,Moderate
126,2010-07,624962292.7166201,646059546.9696969,Low
127,2010-08,11638634034.87721,12644294713.63637,High
127,2010-08,12034031106.75159,13044873935.85858,Middle
127,2010-08,4016596952.805264,4259292206.060606,Moderate
127,2010-08,646440573.3683167,691380201.5151515,Low
128,2010-09,12058965890.91808,11763206609.59596,High
128,2010-09,12283844990.40415,12002869840.90909,Middle
128,2010-09,4105021035.850039,4021300876.767674,Moderate
128,2010-09,666226967.1290705,628845165.6565657,Low
129,2010-10,11978885998.51493,11445501274.24242,High
129,2010-10,12682835851.90866,12071068457.0707,Middle
129,2010-10,4254593970.177493,4121997442.424242,Moderate
129,2010-10,693948222.1711029,663595386.363636,Low
130,2010-11,11875349858.3745,11130372277.77778,High
130,2010-11,12721598239.3864,11627008532.32324,Middle
130,2010-11,4113800882.280223,3748180670.20202,Moderate
130,2010-11,667495373.049987,599241413.1313132,Low
131,2010-12,12191848637.29063,12686940805.05051,High
131,2010-12,12996857085.61555,12399093120.70707,Middle
131,2010-12,4262825010.207604,3877547461.111111,Moderate
131,2010-12,707719905.3983961,613943980.808081,Low
132,2011-01,12223512769.01448,10814805244.44444,High
132,2011-01,13028238785.67826,11365031289.39394,Middle
132,2011-01,4303919672.948123,3664702455.050505,Moderate
132,2011-01,691487841.2966712,586561474.2424245,Low
133,2011-02,12761914252.77105,11313570510.60606,High
133,2011-02,13598163068.32018,12633511712.62626,Middle
133,2011-02,4425278602.704185,4295087580.808083,Moderate
133,2011-02,809173471.129828,800241205.5555556,Low
134,2011-03,12752827942.46639,13805435610.10101,High
134,2011-03,13560757555.85219,15199387658.08081,Middle
134,2011-03,4445296262.108182,5007580171.717172,Moderate
134,2011-03,725078350.8861233,867937802.0202014,Low
135,2011-04,12812270248.8382,12952526117.67677,High
135,2011-04,13422901986.56038,13865053172.22223,Middle
135,2011-04,4518353282.5891,4703265111.111112,Moderate
135,2011-04,773414498.9424868,815054905.0505049,Low
136,2011-05,12295173409.51981,13088164427.77779,High
136,2011-05,13211599556.5169,14063339985.85859,Middle
136,2011-05,4508011300.252542,4861769230.808083,Moderate
136,2011-05,743518149.5158802,816573502.5252527,Low
137,2011-06,12525830097.76187,12738889025.75758,High
137,2011-06,13462335698.83677,13868566165.15152,Middle
137,2011-06,4669696825.299051,4777201539.89899,Moderate
137,2011-06,753976387.1170423,784353108.0808082,Low
138,2011-07,12691255676.69806,13431799542.42424,High
138,2011-07,13466586563.83804,14407368561.11111,Middle
138,2011-07,4477051591.665941,4824783031.313135,Moderate
138,2011-07,787510423.5724376,815911615.1515151,Low
139,2011-08,12993706599.94443,14147711324.74748,High
139,2011-08,13758943585.6085,14930638113.13131,Middle
139,2011-08,4611939950.839796,4909985170.707074,Moderate
139,2011-08,766709944.020329,819226553.5353532,Low
140,2011-09,13464517011.96586,13147328096.9697,High
140,2011-09,14418686379.12345,14106652776.26263,Middle
140,2011-09,4838292680.876135,4743948912.626262,Moderate
140,2011-09,784794234.5422889,742676433.838384,Low
141,2011-10,13590508578.35083,12984808013.63637,High
141,2011-10,14472491845.08827,13780611996.9697,Middle
141,2011-10,4965625387.843691,4796540826.767677,Moderate
141,2011-10,787055720.1944991,754322068.1818184,Low
