month,date,vol,vol_unadj,credit_score_group
84,2007-01,15205867842.4583,12494014995.9596,Super-prime
84,2007-01,3152544976.089084,2778729063.131313,Subprime
84,2007-01,3756807984.381499,3554127365.151515,Deep subprime
84,2007-01,4618211968.589741,3990348636.868688,Near-prime
84,2007-01,8021432933.636323,6752825725.252525,Prime
85,2007-02,15125363462.58062,13577142791.41414,Super-prime
85,2007-02,3198234536.527865,3067530722.222222,Subprime
85,2007-02,3657534637.875607,4039932399.49495,Deep subprime
85,2007-02,4729714391.818719,4343407829.797978,Near-prime
85,2007-02,7910364771.215459,6981733925.757575,Prime
86,2007-03,15002225332.22321,16040626287.37373,Super-prime
86,2007-03,3226796630.700461,3658217998.48485,Subprime
86,2007-03,3795959692.988271,4488612260.10101,Deep subprime
86,2007-03,4590641215.540139,5033157537.878788,Near-prime
86,2007-03,7801123746.394546,8485175134.343435,Prime
87,2007-04,14658656244.23685,15074987272.22222,Super-prime
87,2007-04,3073235213.159364,3203014819.191921,Subprime
87,2007-04,3772628335.926438,3722921863.636364,Deep subprime
87,2007-04,4584717274.802343,4836583843.939394,Near-prime
87,2007-04,7636731053.854577,8019998340.404038,Prime
88,2007-05,15292523479.89079,16830673092.92929,Super-prime
88,2007-05,3228199898.969397,3473062387.878787,Subprime
88,2007-05,3886089574.847977,4086041834.848484,Deep subprime
88,2007-05,4614534742.303769,5184181194.949496,Near-prime
88,2007-05,7836016495.97632,8777267291.414143,Prime
89,2007-06,14767492601.8308,15678453692.42424,Super-prime
89,2007-06,3147717564.55072,3353681377.777778,Subprime
89,2007-06,3716169125.30469,3962550593.434343,Deep subprime
89,2007-06,4544657015.08956,4834980450,Near-prime
89,2007-06,7615109748.400672,8192041450.505045,Prime
90,2007-07,15062021374.90601,16941946531.81819,Super-prime
90,2007-07,3109737412.849718,3334743879.79798,Subprime
90,2007-07,3774107738.949056,3840813323.737372,Deep subprime
90,2007-07,4455747705.915828,4905734860.101011,Near-prime
90,2007-07,7648425552.626569,8423891067.171714,Prime
91,2007-08,15334157118.92486,17253476011.61616,Super-prime
91,2007-08,3125870943.780328,3371480084.343436,Subprime
91,2007-08,3869534056.154445,4007986218.686867,Deep subprime
91,2007-08,4550876692.718302,5053514223.737372,Near-prime
91,2007-08,7841989962.380853,8690518753.030304,Prime
92,2007-09,15236978996.43564,15058824795.45454,Super-prime
92,2007-09,3046749907.92842,2993367805.555556,Subprime
92,2007-09,3691522050.0597,3581895271.212122,Deep subprime
92,2007-09,4535660948.168555,4477728851.515151,Near-prime
