month,date,inquiry_index,unadjusted_inquiry_index
60,2005-01,168.99328,165.47662
61,2005-02,165.54273,148.07652
62,2005-03,161.85176,168.46637
63,2005-04,159.51299,152.90097
64,2005-05,153.46627,145.05241
65,2005-06,162.31339,166.45029
66,2005-07,152.12497,151.86048
67,2005-08,180.55453,189.42897
68,2005-09,179.60512,176.96787
69,2005-10,165.69535,171.30911
70,2005-11,156.43243,171.34539
71,2005-12,153.8061,154.38057
72,2006-01,148.19396,144.91877
73,2006-02,158.40419,140.87898
74,2006-03,164.75539,168.12081
75,2006-04,164.20058,156.64866
76,2006-05,165.48407,161.03973
77,2006-06,156.19476,157.73497
78,2006-07,156.60133,157.36268
79,2006-08,162.04487,172.66844
80,2006-09,168.89346,165.22461
81,2006-10,185.66449,191.55196
82,2006-11,181.36985,196.97398
83,2006-12,175.57631,173.19536
84,2007-01,188.37666,188.05819
85,2007-02,184.50319,166.24792
86,2007-03,183.33164,181.13748
87,2007-04,181.82695,178.10573
88,2007-05,188.47831,183.85231
89,2007-06,194.37494,192.75091
90,2007-07,191.70734,196.57687
91,2007-08,187.62028,194.91972
92,2007-09,178.70851,172.27706
93,2007-10,173.83988,184.17114
94,2007-11,168.8426,182.49107
95,2007-12,165.25017,167.42015
96,2008-01,169.4173,167.48315
97,2008-02,167.54394,150.31788
98,2008-03,169.13542,166.73476
99,2008-04,165.38619,163.09399
100,2008-05,160.88712,156.66202
101,2008-06,160.43399,156.67157
102,2008-07,160.82223,167.1395
103,2008-08,154.10546,156.92167
104,2008-09,155.46107,152.9277
105,2008-10,151.64209,157.6777
106,2008-11,144.07245,157.69488
107,2008-12,142.972,152.05903
108,2009-01,124.64804,121.61744
109,2009-02,119.33408,102.58119
110,2009-03,112.53587,109.86846
111,2009-04,113.26069,111.47979
112,2009-05,118.64918,110.27511
113,2009-06,102.78672,101.62088
114,2009-07,96.59658,99.54753000000001
115,2009-08,96.68190000000001,100.28828
116,2009-09,91.47566,89.70580000000001
117,2009-10,91.51129,96.13586000000001
118,2009-11,85.44577000000001,99.81863000000001
119,2009-12,111.01443,125.55223
120,2010-01,108.19188,100
121,2010-02,104.56391,87.83291000000001
122,2010-03,98.97663000000001,99.2077
123,2010-04,103.64442,99.42534000000001
124,2010-05,108.93814,101.52351
125,2010-06,109.50513,108.52823
126,2010-07,114.44838,117.02018
127,2010-08,117.1938,121.51626
128,2010-09,121.56806,119.53073
129,2010-10,121.52546,120.61322
130,2010-11,111.07212,131.31789
131,2010-12,142.76712,156.83766
132,2011-01,130.37174,122.49566
133,2011-02,131.89031,113.78415
134,2011-03,136.51922,135.35004
135,2011-04,134.97198,127.95586
136,2011-05,123.24546,120.95687
137,2011-06,125.98775,122.64075
138,2011-07,127.40731,126.84473
139,2011-08,130.2969,140.21459
140,2011-09,132.22416,126.55072
141,2011-10,130.71308,130.51414
142,2011-11,129.17376,151.94066
143,2011-12,127.82205,138.40089
144,2012-01,117.70272,113.79751
145,2012-02,127.37639,108.99788
146,2012-03,119.48542,117.65975
147,2012-04,120.2142,111.81962
148,2012-05,117.17377,117.7953
149,2012-06,119.61612,116.61353
150,2012-07,123.56603,124.90884
151,2012-08,126.63397,133.92963
152,2012-09,128.43467,120.68768
153,2012-10,135.87553,138.43907
154,2012-11,156.10658,176.58222
155,2012-12,148.74939,159.81405
156,2013-01,155.20661,152.4065
157,2013-02,153.07084,133.46761
158,2013-03,157.23472,150.18232
159,2013-04,152.96322,148.93182
160,2013-05,156.48731,156.15418
161,2013-06,163.55213,161.14282
162,2013-07,162.8481,170.2858
163,2013-08,163.90193,171.40075
164,2013-09,167.63768,158.01371
165,2013-10,167.81473,170.9941
166,2013-11,173.77117,192.01016
167,2013-12,185.20025,195.34546
168,2014-01,172.34507,166.31856
169,2014-02,167.24641,146.04326
170,2014-03,179.53268,172.97581
171,2014-04,177.43351,175.40999
172,2014-05,187.59762,189.06814
173,2014-06,185.54677,184.97299
174,2014-07,184.87103,196.69906
175,2014-08,190.72372,194.32597
176,2014-09,191.01235,184.38687
177,2014-10,191.23574,190.16972
178,2014-11,199.05294,213.94261
179,2014-12,210.28676,221.88854
180,2015-01,199.76499,193.0812
181,2015-02,201.25076,173.77384
182,2015-03,194.95172,193.13656
183,2015-04,208.8692,205.29411
184,2015-05,201.09291,201.33832
185,2015-06,203.87386,211.04641
186,2015-07,206.48376,217.19582
187,2015-08,202.41535,208.58932
188,2015-09,207.34874,200.90303
189,2015-10,213.18646,206.17614
190,2015-11,205.83675,221.93436
191,2015-12,209.06007,217.73612
192,2016-01,215.62777,205.50984
193,2016-02,223.83888,200.74457
194,2016-03,218.45945,220.01566
195,2016-04,227.99783,224.37045
196,2016-05,236.00179,238.1546
197,2016-06,231.90937,240.40932
198,2016-07,238.83817,245.64616
199,2016-08,250.76402,261.12564
200,2016-09,229.85715,219.94693
201,2016-10,223.08053,216.68989
202,2016-11,220.90916,237.07975
203,2016-12,219.86207,227.71912
204,2017-01,226.5019,216.56389
205,2017-02,211.23396,187.65727
206,2017-03,222.12105,223.14477
207,2017-04,224.99806,220.20657
208,2017-05,220.26957,226.60036
209,2017-06,226.95832,232.5283
