month,date,vol,vol_unadj
72,2006-01,33350945313.02689,29944328352.02019
73,2006-02,40168523759.9675,36249538318.68688
74,2006-03,33938038485.46604,33119731313.13132
75,2006-04,32617028785.13612,31784574583.83839
76,2006-05,33951294320.17718,33857295612.62627
77,2006-06,33272741229.74728,33658269737.87879
78,2006-07,33764625528.13908,35547754571.71717
79,2006-08,37181706153.71761,40135138667.6768
80,2006-09,41513733678.09472,41859786667.67678
81,2006-10,35535496962.9774,37750898352.52526
82,2006-11,36165089341.44748,37934477774.74748
83,2006-12,36949531485.30567,36515672574.74747
84,2007-01,37730102975.42963,33884881624.74749
85,2007-02,40030071847.41693,35994913339.39396
86,2007-03,38341142952.10329,37526933220.70708
87,2007-04,37861038577.68312,37052893423.73737
88,2007-05,35566043352.49368,35561809185.35354
89,2007-06,34745926171.5987,35053390207.57576
90,2007-07,35238340897.56005,37060968638.88889
91,2007-08,34892032360.7336,37518491637.37374
92,2007-09,34748173815.84054,34841805922.22224
93,2007-10,36366832744.80305,38555196818.18183
94,2007-11,34775746086.16462,36682016148.48488
95,2007-12,35299571853.27003,35095590464.14143
96,2008-01,34385740596.606,30849509312.12122
97,2008-02,32830584835.81729,29348605144.94949
98,2008-03,31861271969.83821,31404804341.9192
99,2008-04,31773733504.64523,31286775596.46466
100,2008-05,31015556144.20663,31072717233.83839
101,2008-06,32749708199.08538,32855958069.69699
102,2008-07,39262056811.78998,41236209705.55555
103,2008-08,28725916203.23898,30585149043.93939
104,2008-09,28376522878.99187,28197914560.10101
105,2008-10,24732531116.3273,26148308944.44445
106,2008-11,22506384939.53748,23984756745.45455
107,2008-12,20031116891.15518,20145740817.67677
108,2009-01,18439608840.55073,16568712831.81818
109,2009-02,17136352559.01016,15245116138.38384
110,2009-03,16785751064.71409,16681587776.76767
111,2009-04,16392312261.01726,16189900089.89899
112,2009-05,16142445576.87025,16181607198.9899
113,2009-06,15253404787.5861,15199141958.08081
114,2009-07,14267578311.55558,14936212156.56566
115,2009-08,13887552822.52357,14632019295.9596
116,2009-09,13750286824.62365,13548045883.83839
117,2009-10,14148554534.73514,14874254013.13131
118,2009-11,14231674592.19651,15332296015.65657
119,2009-12,14202069855.9696,14457160083.33333
120,2010-01,14873106129.47817,13419666285.85859
121,2010-02,13526073554.79526,12014744988.38383
122,2010-03,14617741765.06481,14687540018.18182
123,2010-04,14904213332.9201,14763017636.36363
124,2010-05,14620273234.6687,14659942377.77778
125,2010-06,14558408318.95246,14362474368.18182
126,2010-07,15326009853.73689,15923795598.48485
127,2010-08,15578180108.83016,16239423934.34343
128,2010-09,15543769707.90309,15182254551.51515
129,2010-10,16245686420.30374,16988362978.28283
130,2010-11,17385620147.3051,18901197013.63636
131,2010-12,18006770850.92996,18558109731.8182
132,2011-01,17375623797.15248,15863853255.05051
133,2011-02,17914376070.54067,15947442438.88888
134,2011-03,18941926052.26082,19143075691.9192
135,2011-04,17524972731.47351,17372576146.9697
136,2011-05,18844154793.19236,18880283024.74747
137,2011-06,18786381781.01936,18337399393.9394
138,2011-07,17956948844.35916,18548618983.33333
139,2011-08,19937804254.65465,20673935704.54546
140,2011-09,21221162209.73784,20618602997.9798
141,2011-10,19901140254.32347,20628379883.33332
