month,date,vol,vol_unadj,age_group
72,2006-01,10871562004.91862,9790996139.39394,Age 30-44
72,2006-01,13904481842.78679,12518252209.59596,Age 45-64
72,2006-01,4163904940.349972,3622674639.898989,Younger than 30
72,2006-01,4241493354.754484,3803005290.909091,Age 65 and older
73,2006-02,11926125119.65409,10495450807.07071,Age 30-44
73,2006-02,17011444207.80667,15555683364.64647,Age 45-64
73,2006-02,4193414020.307283,3424793834.343434,Younger than 30
73,2006-02,6749159001.554799,6470045196.464648,Age 65 and older
74,2006-03,10867537370.54098,10575362125.75758,Age 30-44
74,2006-03,14313515832.45313,14064661543.9394,Age 45-64
74,2006-03,4130496315.40372,3908712892.929293,Younger than 30
74,2006-03,4407326098.141644,4330984569.69697,Age 65 and older
75,2006-04,10498867146.45194,10155105227.77778,Age 30-44
75,2006-04,13805343130.39233,13512160959.59596,Age 45-64
75,2006-04,3961703700.904273,3820976193.939394,Younger than 30
75,2006-04,4143637376.02972,4071361076.767677,Age 65 and older
76,2006-05,10866100302.93224,10812011376.76768,Age 30-44
76,2006-05,14271441874.59436,14198717666.16162,Age 45-64
76,2006-05,4042056276.756008,4085599652.020202,Younger than 30
76,2006-05,4489332715.224003,4524916116.161616,Age 65 and older
77,2006-06,10619977602.70476,10562620339.39394,Age 30-44
77,2006-06,14226514412.22216,14238807992.42424,Age 45-64
77,2006-06,3958685502.483766,4123382270.70707,Younger than 30
77,2006-06,4445790825.216438,4504919971.717172,Age 65 and older
78,2006-07,10850387047.72236,11549707266.66666,Age 30-44
78,2006-07,14335672941.70943,15023317212.12122,Age 45-64
78,2006-07,4043867622.222548,4382628272.727271,Younger than 30
78,2006-07,4247410548.364888,4386261499.49495,Age 65 and older
79,2006-08,11431826451.18048,12377945881.81818,Age 30-44
79,2006-08,15783969424.34916,17000212873.23233,Age 45-64
79,2006-08,4227223634.535993,4853278928.787877,Younger than 30
79,2006-08,5420991739.850483,5663148761.61616,Age 65 and older
80,2006-09,12070156658.50616,12268748062.62626,Age 30-44
80,2006-09,18094037615.84034,17930852270.70708,Age 45-64
80,2006-09,4441383239.046859,4610765265.151515,Younger than 30
80,2006-09,6722382853.90983,6771595603.535355,Age 65 and older
81,2006-10,11024689450.9705,11636749632.82829,Age 30-44
81,2006-10,15183763170.43306,16103766622.72728,Age 45-64
81,2006-10,4305275485.807566,4489412598.989897,Younger than 30
81,2006-10,4794109220.531525,5278103247.979798,Age 65 and older
82,2006-11,11445783800.64055,12147215719.19192,Age 30-44
82,2006-11,15344713231.943,16151325962.12122,Age 45-64
82,2006-11,4364666229.710674,4628517153.030302,Younger than 30
82,2006-11,4738757710.884077,4779306990.40404,Age 65 and older
83,2006-12,11854569144.34986,11959272750.50505,Age 30-44
83,2006-12,15686890003.55461,15663918534.84849,Age 45-64
83,2006-12,4474095316.762921,4307992748.48485,Age 65 and older
83,2006-12,4499291681.056939,4394075009.090909,Younger than 30
84,2007-01,11990026699.75463,10800163168.18182,Age 30-44
84,2007-01,16055117321.24484,14456697976.26263,Age 45-64
84,2007-01,4480958493.021564,3907228135.353536,Younger than 30
84,2007-01,5042754890.307895,4533537576.262626,Age 65 and older
85,2007-02,12140503688.34188,10652120091.41415,Age 30-44
85,2007-02,17168085683.08351,15646132743.43435,Age 45-64
85,2007-02,4487432375.792344,3644644340.40404,Younger than 30
85,2007-02,6142015965.250024,5835538094.949493,Age 65 and older
86,2007-03,11885988586.95918,11577074866.66667,Age 30-44
86,2007-03,16389923573.26391,16184773278.28283,Age 45-64
86,2007-03,4476184953.462991,4241717727.777779,Younger than 30
86,2007-03,5361240538.764202,5305557161.616163,Age 65 and older
87,2007-04,11822377745.09798,11475344259.59596,Age 30-44
87,2007-04,16221186993.27274,15908369737.8788,Age 45-64
87,2007-04,4448326650.129961,4309534371.71717,Younger than 30
87,2007-04,5250761128.987055,5173670922.222221,Age 65 and older
88,2007-05,11225289742.44796,11203454209.59596,Age 30-44
88,2007-05,15064685770.36588,15036996946.46465,Age 45-64
88,2007-05,4388150420.881921,4430921292.929293,Younger than 30
88,2007-05,4654865130.538843,4703690380.303032,Age 65 and older
89,2007-06,11072300801.54718,11001524366.66667,Age 30-44
89,2007-06,14746307854.24484,14713200990.9091,Age 45-64
89,2007-06,4326655856.412226,4501328548.989901,Younger than 30
89,2007-06,4603861413.084765,4662766676.262626,Age 65 and older
90,2007-07,11019101366.62463,11714776957.07071,Age 30-44
90,2007-07,15064268112.79298,15761586273.73738,Age 45-64
90,2007-07,4270104101.137815,4627534274.747474,Younger than 30
90,2007-07,4625068410.61062,4777290890.909093,Age 65 and older
91,2007-08,10851239679.32997,11718225617.67677,Age 30-44
91,2007-08,14887849907.25394,15952684012.12122,Age 45-64
91,2007-08,4282431604.944827,4912313258.080807,Younger than 30
91,2007-08,4559898304.367287,4744177672.222223,Age 65 and older
92,2007-09,10872627130.90737,10988337587.37374,Age 30-44
92,2007-09,14864719759.65754,14656846082.82828,Age 45-64
92,2007-09,4159928109.502557,4299495190.40404,Younger than 30
92,2007-09,4707361146.83716,4718744208.585858,Age 65 and older
93,2007-10,11263394789.68408,11853263461.11111,Age 30-44
93,2007-10,15649235297.50452,16567234747.47475,Age 45-64
93,2007-10,4161615103.665898,4335614300.000001,Younger than 30
93,2007-10,5110606211.996945,5615461991.414143,Age 65 and older
94,2007-11,10860574613.58735,11598632048.48485,Age 30-44
94,2007-11,14803675653.93039,15682136669.19192,Age 45-64
