month,date,vol,vol_unadj,income_level_group
123,2010-04,1922980446.09547,1865282731.31313,Moderate
123,2010-04,299300983.396417,293609613.131313,Low
123,2010-04,6117293639.08555,5855699048.9899,Middle
123,2010-04,7101219998.43273,6646677976.26263,High
124,2010-05,1837716620.11009,1846327790.90909,Moderate
124,2010-05,303593734.046742,319588347.474747,Low
124,2010-05,6025838193.60694,5860163844.44444,Middle
124,2010-05,6645743478.2211,6524892475.75758,High
125,2010-06,1894020844.015,1854435265.65657,Moderate
125,2010-06,305402976.795649,300414122.222222,Low
125,2010-06,6221739688.08973,5849588823.73737,Middle
125,2010-06,6567871122.47305,6242979711.11111,High
126,2010-07,1924227168.09614,1993095261.11111,Moderate
126,2010-07,319249340.673021,326573714.646465,Low
126,2010-07,6375829562.53365,6542768793.43434,Middle
126,2010-07,6961075912.62768,6913755374.74747,High
127,2010-08,1898573062.88828,2007146167.17172,Moderate
127,2010-08,311372947.09178,330868499.49495,Low
127,2010-08,6266746576.6685,6521248730.30303,Middle
127,2010-08,7031295616.58259,7223254680.30303,High
128,2010-09,1942154488.12871,1919844890.90909,Moderate
128,2010-09,321089721.827994,314942866.161616,Low
128,2010-09,6191750988.7559,6044280688.88889,Middle
128,2010-09,6787776876.26564,6753075577.27273,High
129,2010-10,2019807981.54587,2154948510.10101,Moderate
129,2010-10,320801057.743778,346422285.858586,Low
129,2010-10,6349074815.55147,6694208094.9495,Middle
129,2010-10,7437116192.09409,7638732060.10101,High
130,2010-11,2059241331.38631,2315742903.0303,Moderate
130,2010-11,346924263.110942,388278555.555556,Low
130,2010-11,6633165258.86237,7560533521.71717,Middle
130,2010-11,7702320987.75998,8484769244.44444,High
131,2010-12,2133094038.897,2211023510.60606,Moderate
131,2010-12,341520131.371057,351586474.242424,Low
131,2010-12,6900763644.87968,7412601938.88889,Middle
131,2010-12,7673937725.90769,8415653468.68687,High
132,2011-01,2201111014.9865,1972722849.49495,Moderate
132,2011-01,355818570.658201,308079714.646465,Low
132,2011-01,6814369827.91051,6214578442.42425,Middle
132,2011-01,7943635779.52957,7228285975.75757,High
133,2011-02,2252626931.4595,1928042598.9899,Moderate
133,2011-02,385462053.966268,316822460.606061,Low
133,2011-02,7000311237.28691,6168156945.9596,Middle
133,2011-02,8201107319.78351,7397572878.28283,High
134,2011-03,2292593696.36269,2292923487.37374,Moderate
134,2011-03,375153702.200688,385424958.080808,Low
134,2011-03,7359838913.17126,7490448368.68687,Middle
134,2011-03,8350085099.79301,8810237168.686871,High
135,2011-04,2189092450.52893,2146007963.13131,Moderate
135,2011-04,347134421.360313,344462254.040404,Low
135,2011-04,7050466150.05969,6831468361.11111,Middle
135,2011-04,8128390880.71704,7887847982.32323,High
136,2011-05,2399866291.94721,2416017487.37374,Moderate
136,2011-05,376798576.354033,393481180.808081,Low
136,2011-05,7449485579.96099,7301769016.16162,Middle
136,2011-05,8714568278.500351,8606276371.21212,High
137,2011-06,2368464185.89162,2323421585.85858,Moderate
137,2011-06,373475191.170713,368477929.79798,Low
137,2011-06,7637345221.15809,7262200392.9293,Middle
137,2011-06,8427274749.12862,8187945501.51515,High
138,2011-07,2216217206.72105,2299493714.14142,Moderate
138,2011-07,379685362.952087,389907516.666667,Low
138,2011-07,7109418481.84665,7294015368.18182,Middle
