month,date,vol,vol_unadj,credit_score_group
84,2007-01,25447853006.76721,22610679958.58586,Super-prime
84,2007-01,2566262124.163172,2139431090.404041,Near-prime
84,2007-01,468099511.3574027,405278907.0707071,Deep subprime
84,2007-01,8426959621.892727,7433527367.676769,Prime
84,2007-01,844549641.7231189,736938927.7777777,Subprime
85,2007-02,2436459455.486008,1961024501.515152,Near-prime
85,2007-02,28986116811.99924,25083224440.90911,Super-prime
85,2007-02,467192356.0502107,394154492.929293,Deep subprime
85,2007-02,782290534.4546999,641358247.4747473,Subprime
85,2007-02,8324087577.077339,7269027633.333331,Prime
86,2007-03,2365735143.397097,2286670587.878788,Near-prime
86,2007-03,26068299983.71128,25202026299.49495,Super-prime
86,2007-03,471008856.0468237,469571332.8282828,Deep subprime
86,2007-03,8290564670.807046,8084664958.58586,Prime
86,2007-03,833264106.9681358,822309008.5858588,Subprime
87,2007-04,2406377393.956889,2335198938.383838,Near-prime
87,2007-04,25311896219.26441,24985670964.64647,Super-prime
87,2007-04,469067345.3382848,428783613.6363639,Deep subprime
87,2007-04,7922397210.853911,7950261859.595962,Prime
87,2007-04,820232318.378193,766621245.9595959,Subprime
88,2007-05,23174723433.18726,23448741444.94949,Super-prime
88,2007-05,2356326741.121428,2376318119.191918,Near-prime
88,2007-05,479632177.0872367,490326885.858586,Deep subprime
88,2007-05,7667312114.957216,7822446744.949492,Prime
88,2007-05,829809435.7885399,832050534.8484849,Subprime
89,2007-06,2254917966.523044,2344531158.585858,Near-prime
89,2007-06,22677292044.62068,22998769347.97979,Super-prime
89,2007-06,512723808.6512063,505758275.2525252,Deep subprime
89,2007-06,7491321648.707735,7732636319.696969,Prime
89,2007-06,819195091.8900874,839465989.3939395,Subprime
90,2007-07,22973147597.44378,24602593478.78788,Super-prime
90,2007-07,2321555683.009469,2391879864.141412,Near-prime
90,2007-07,465032965.4157935,440096316.6666667,Deep subprime
90,2007-07,7647784369.801362,8261764220.707078,Prime
90,2007-07,821750388.7750478,814944086.8686867,Subprime
91,2007-08,2224753912.365024,2455849868.181818,Near-prime
91,2007-08,23393257991.73962,24760406635.35354,Super-prime
91,2007-08,437349279.1820478,489378080.8080807,Deep subprime
91,2007-08,7825724614.729134,8292068531.313131,Prime
91,2007-08,791081770.0227146,851517118.6868684,Subprime
92,2007-09,2061376406.3915,2213625743.939394,Near-prime
92,2007-09,23546782705.16572,23307370854.04041,Super-prime
92,2007-09,383632200.3442605,393923096.4646465,Deep subprime
92,2007-09,715242156.2167044,749144171.7171714,Subprime
92,2007-09,7706902633.615381,7584712024.747478,Prime
93,2007-10,2019732301.381224,2226549747.979798,Near-prime
93,2007-10,25151761003.40499,26560220420.20202,Super-prime
93,2007-10,352040225.078128,383545355.5555555,Deep subprime
93,2007-10,684345839.2489616,744124533.3333333,Subprime
93,2007-10,7642692870.257898,8114490076.262622,Prime
94,2007-11,1962853934.204622,2137175073.737373,Near-prime
94,2007-11,23624886703.9741,25378836281.81819,Super-prime
94,2007-11,337626235.7478543,366921929.2929294,Deep subprime
94,2007-11,637044986.2861682,720880726.2626263,Subprime
94,2007-11,7160038052.643888,7541721252.0202,Prime
95,2007-12,1953336538.444505,1902226588.888888,Near-prime
95,2007-12,24415297142.58574,24715795829.79798,Super-prime
95,2007-12,306325612.6258741,336380348.9898991,Deep subprime
95,2007-12,614894878.4257135,627704626.7676768,Subprime
95,2007-12,7197622327.055857,7008842780.30303,Prime
96,2008-01,2001465763.889549,1668061442.424242,Near-prime
96,2008-01,23926984628.17093,21352051749.49495,Super-prime
96,2008-01,318940310.7436947,276956044.9494951,Deep subprime
96,2008-01,627575189.8713224,547247460.6060605,Subprime
96,2008-01,7457270152.195846,6575111596.464647,Prime
97,2008-02,1961702254.201324,1587116811.616162,Near-prime
97,2008-02,23407690619.50957,20283648808.08081,Super-prime
97,2008-02,325755665.6042359,275270118.1818182,Deep subprime
97,2008-02,618788863.6044803,508336097.4747476,Subprime
97,2008-02,7181805470.649621,6279047733.333333,Prime
98,2008-03,1734521613.309819,1686428187.373737,Near-prime
98,2008-03,22466221241.71645,21895843242.42424,Super-prime
98,2008-03,289153588.8807936,291240961.6161616,Deep subprime
98,2008-03,554882456.4883938,552921441.4141413,Subprime
98,2008-03,6652344696.169663,6506029561.111111,Prime
99,2008-04,1669105992.963942,1619359038.383839,Near-prime
99,2008-04,22582836236.07397,22293035524.74746,Super-prime
99,2008-04,294734498.5560508,268057635.3535354,Deep subprime
99,2008-04,524595207.509792,490523706.5656565,Subprime
99,2008-04,6168833248.823755,6197428938.383837,Prime
100,2008-05,1560402309.99031,1575276492.424242,Near-prime
100,2008-05,22022806884.42693,22269342990.40406,Super-prime
100,2008-05,271688764.5536884,275463277.7777777,Deep subprime
100,2008-05,488013400.4947259,487738379.2929292,Subprime
100,2008-05,5917081147.519208,6046209271.717171,Prime
101,2008-06,1462721437.500012,1517638065.656566,Near-prime
101,2008-06,231540896.3298437,229932525.7575758,Deep subprime
101,2008-06,24073115406.73552,24244643829.29292,Super-prime
101,2008-06,466232421.1889442,478221314.6464648,Subprime
101,2008-06,5800280308.471905,5961217036.868687,Prime
102,2008-07,1388549192.576868,1423455175.757576,Near-prime
102,2008-07,212584203.559643,201391714.1414142,Deep subprime
102,2008-07,30867855324.83952,32942794923.73737,Super-prime
102,2008-07,399060298.0498645,394611827.2727273,Subprime
102,2008-07,5465827475.290563,5878537224.747476,Prime
103,2008-08,1229243672.187027,1353553573.737374,Near-prime
103,2008-08,194805315.4792645,217063355.5555556,Deep subprime
103,2008-08,21787813927.53072,22992563868.68688,Super-prime
103,2008-08,386509102.1915765,414955845.9595959,Subprime
103,2008-08,4913506887.211162,5210142906.565657,Prime
104,2008-09,1172047240.815606,1255139602.525252,Near-prime
104,2008-09,21240014541.48394,20919044489.899,Super-prime
104,2008-09,212700246.1773496,218497177.2727272,Deep subprime
104,2008-09,405957661.7950014,424222730.3030303,Subprime
104,2008-09,5055778154.410922,4973934843.939393,Prime
105,2008-10,1020885172.610359,1118908189.39394,Near-prime
105,2008-10,180896043.5529398,195407859.090909,Deep subprime
105,2008-10,18750734914.90009,19740625970.20201,Super-prime
105,2008-10,336995570.3528694,363253059.0909091,Subprime
105,2008-10,4195458114.555647,4436990029.79798,Prime
106,2008-11,157168471.7967658,171382196.4646465,Deep subprime
106,2008-11,17047886643.11295,18382919978.28283,Super-prime
106,2008-11,266867430.2680732,302677521.2121213,Subprime
106,2008-11,3692461832.9509,3902524392.424242,Prime
106,2008-11,863119295.530638,942557318.686869,Near-prime
107,2008-12,145417604.4118724,158935210.1010101,Deep subprime
107,2008-12,15439462253.96101,15743799783.33333,Super-prime
107,2008-12,236197671.4292054,241459907.0707071,Subprime
107,2008-12,3119198104.514094,3042716197.979799,Prime
107,2008-12,699353960.8510432,682007957.5757581,Near-prime
108,2009-01,124341582.190574,108284351.5151515,Deep subprime
108,2009-01,14472194059.10656,12988136977.27273,Super-prime
108,2009-01,192695470.3601457,167741385.3535353,Subprime
108,2009-01,2894701028.427936,2558575959.595959,Prime
108,2009-01,635821551.580074,530869749.9999999,Near-prime
109,2009-02,109129899.8447597,92732357.57575756,Deep subprime
109,2009-02,13848163790.36245,12028080145.95959,Super-prime
109,2009-02,183459986.7472991,152227064.1414141,Subprime
109,2009-02,2643159108.437534,2320665933.333331,Prime
109,2009-02,551860006.6217531,451972661.1111109,Near-prime
110,2009-03,101853401.1824897,104272997.979798,Deep subprime
