month,date,inquiry_index,unadjusted_inquiry_index
60,2005-01,159.37866,182.38193
61,2005-02,160.8675,170.99143
62,2005-03,159.4484,188.13819
63,2005-04,162.94304,172.02737
64,2005-05,161.97401,168.2736
65,2005-06,178.7888,183.0279
66,2005-07,166.10079,162.5628
67,2005-08,176.87005,181.95847
68,2005-09,171.90354,157.28025
69,2005-10,155.77591,149.96172
70,2005-11,155.92067,134.91555
71,2005-12,150.69534,110.98617
72,2006-01,145.04095,167.71855
73,2006-02,145.87216,155.11268
74,2006-03,154.52515,182.43935
75,2006-04,146.72812,155.41653
76,2006-05,155.66529,161.2637
77,2006-06,154.86325,156.85679
78,2006-07,150.47736,146.83956
79,2006-08,161.96357,164.77583
80,2006-09,153.87675,142.34413
81,2006-10,153.49646,149.15546
82,2006-11,156.06571,135.42036
83,2006-12,152.64944,113.89779
84,2007-01,149.29742,172.85755
85,2007-02,143.56744,152.00967
86,2007-03,146.37452,172.86234
87,2007-04,144.84541,153.40925
88,2007-05,149.21391,152.78004
89,2007-06,142.77735,141.97091
90,2007-07,146.65406,143.66955
91,2007-08,137.7036,139.2459
92,2007-09,120.26115,113.02933
93,2007-10,127.6133,126.37686
94,2007-11,122.09028,107.21326
95,2007-12,117.52602,89.01861000000001
96,2008-01,148.54997,170.38854
97,2008-02,138.63927,144.35619
98,2008-03,117.24266,138.31762
99,2008-04,126.61087,133.17862
100,2008-05,117.42293,118.60855
101,2008-06,112.65258,110.73257
102,2008-07,113.37102,111.48141
103,2008-08,98.00799000000001,99.33011
104,2008-09,113.35939,109.61529
105,2008-10,93.25645,94.3849
106,2008-11,92.53254000000001,81.99675000000001
107,2008-12,194.53918,149.32533
108,2009-01,163.59468,183.17862
109,2009-02,122.83733,126.73334
110,2009-03,146.21775,170.64931
111,2009-04,171.21217,178.00612
112,2009-05,133.39296,132.76233
113,2009-06,114.81576,112.89057
114,2009-07,111.61466,111.11297
115,2009-08,108.13883,110.30671
116,2009-09,118.00302,116.78071
117,2009-10,114.10651,117.8932
118,2009-11,107.20149,95.74382000000001
119,2009-12,114.991,88.71716000000001
120,2010-01,91.41714,100
121,2010-02,99.90949000000001,101.24886
122,2010-03,104.34765,120.11101
123,2010-04,103.38388,106.81133
124,2010-05,95.78143000000001,94.97584000000001
125,2010-06,114.83561,114.25427
126,2010-07,126.67054,127.13766
127,2010-08,136.6424,140.50912
128,2010-09,118.21227,119.08465
129,2010-10,112.94967,118.29274
130,2010-11,112.70512,100.4115
131,2010-12,92.82126000000001,71.64458
132,2011-01,82.82978000000001,88.07838000000001
133,2011-02,81.18939,81.53500000000001
