month,date,vol,vol_unadj
72,2006-01,196565889769.3003,173245465946.9698
73,2006-02,199830818605.947,182260515886.8688
74,2006-03,199919891908.6919,236205430940.9091
75,2006-04,188321672262.5583,208121153096.9697
76,2006-05,200507295915.7331,232577694844.9496
77,2006-06,213089441373.1642,241371653394.4444
78,2006-07,214974880622.9401,211488099453.0303
79,2006-08,238419872314.5294,234257322250
80,2006-09,250791816189.1565,210781112362.1212
81,2006-10,242709355508.3989,226331345085.3536
82,2006-11,228760671564.6985,209703398411.6162
83,2006-12,229291467232.3866,223551407843.9393
84,2007-01,220195147306.7665,194775202607.0707
85,2007-02,199370094149.668,181302959815.6565
86,2007-03,183400326339.5788,215316676254.5454
87,2007-04,180258693737.4631,200842973081.8182
88,2007-05,182405403694.7845,209542696121.2122
89,2007-06,181153991427.7469,203389522021.7172
90,2007-07,180526987201.7499,178441257315.6566
91,2007-08,174244894412.0577,169051595554.0404
92,2007-09,150168244152.6716,126610436818.6869
93,2007-10,148617335823.0849,140132560902.5253
94,2007-11,142295499989.6421,134134911114.6465
95,2007-12,134371689801.9959,134164962895.4545
96,2008-01,134366378227.8963,119294226428.7879
97,2008-02,187470863005.5828,168445198743.4344
98,2008-03,139836964161.6972,161698209142.4243
99,2008-04,137042299639.4588,152331937511.1111
100,2008-05,124287250362.0591,137545388604.0404
101,2008-06,113758249459.0916,125391204454.5455
102,2008-07,112437023008.2901,110343441877.2728
103,2008-08,102139552415.5175,98152068314.64641
104,2008-09,106018106090.7924,92775161072.22226
105,2008-10,104585381037.1922,101435059237.8788
106,2008-11,67126874223.57717,66674662367.67675
107,2008-12,96549995721.1058,100880659363.6364
108,2009-01,160665769077.1421,144549242931.8182
109,2009-02,196097966212.8548,171802969250.5051
110,2009-03,165538513708.6454,183450102481.8181
111,2009-04,178238329390.0916,191213385161.1111
112,2009-05,192430943437.3821,200917284484.8485
113,2009-06,185782932284.2119,200751949467.1718
114,2009-07,171906999626.0436,166672496669.6971
115,2009-08,132451309286.8388,128764786627.2728
116,2009-09,130918092143.4875,121031953879.2929
117,2009-10,129667795996.5083,132529597164.6464
118,2009-11,125593085017.5591,132624274197.4748
119,2009-12,125694326199.3218,137149269223.7375
120,2010-01,112948435291.1547,101653387658.5858
121,2010-02,104367484774.2805,89447414610.101
122,2010-03,108933695878.131,114606298966.6667
123,2010-04,112342881006.6,113404668545.4546
124,2010-05,107588347293.8782,104966316107.5758
125,2010-06,126095214839.3819,133336052866.1617
126,2010-07,134323696854.7415,129221558294.9495
127,2010-08,159084769113.8303,160989575706.0606
128,2010-09,176307088303.7413,174321634692.9294
129,2010-10,165648650161.9553,178419037581.3132
130,2010-11,169977149903.2868,185428785429.798
131,2010-12,160100796231.504,176239860819.1919
132,2011-01,142104000282.2907,127881452410.6061
133,2011-02,116074908375.4126,98115512639.39395
134,2011-03,104531866780.4083,103300485842.9293
135,2011-04,96977795968.5591,92214299261.61617
136,2011-05,95673517351.02997,91561723376.76772
137,2011-06,102126554429.4493,107377670756.5657
138,2011-07,106718210207.6184,106000550596.4647
139,2011-08,116491339283.8491,122995648481.3132
140,2011-09,144344575702.2194,146286254762.6262
141,2011-10,143064951361.8961,158399303187.3737
142,2011-11,143807770731.3707,155296538910.606
143,2011-12,139714861515.9131,149820588622.2222
144,2012-01,147207631026.8341,129889560556.0606
145,2012-02,178690952541.4188,150784150310.6061
146,2012-03,172879204732.6482,165226532314.6464
147,2012-04,162756592907.7543,152490290419.192
148,2012-05,166226168580.8786,163234180228.2828
149,2012-06,162558312129.9551,172766165804.0404
150,2012-07,168747253758.484,177098914307.5757
151,2012-08,189247458016.3871,205908715657.5758
152,2012-09,174395468105.8266,176409261779.798
153,2012-10,187326576607.3279,203925862143.4343
154,2012-11,185679555079.3241,190593267194.4444
155,2012-12,192347747090.5221,199181318062.1212
156,2013-01,214096265512.5303,185766662071.7172
157,2013-02,200007842441.4295,166258160678.7879
158,2013-03,187976702493.453,177922232687.3737
159,2013-04,188609126973.1784,181018900545.9596
160,2013-05,185750105832.6407,192006141065.6567
161,2013-06,167921711852.2494,184674178625.2525
162,2013-07,158255596833.1894,175253597778.7878
163,2013-08,134697261394.4944,146523017406.5656
164,2013-09,111968060856.1082,112158906829.798
165,2013-10,103634242673.2262,108655314898.9898
166,2013-11,101125601418.1105,97794565308.58585
167,2013-12,98815236034.08438,100397873558.5859
168,2014-01,93883951995.91731,78516864376.26268
169,2014-02,88762269709.65102,71964176339.39392
170,2014-03,91742620713.86311,88769454085.85858
171,2014-04,98293079107.25554,97595407045.45454
172,2014-05,100375666800.4137,106717552121.2121
173,2014-06,104227764456.6508,117859989679.798
174,2014-07,109649328354.0385,124226365315.6566
175,2014-08,107120457673.036,116590180636.8687
176,2014-09,112308454546.2438,113695114848.9899
177,2014-10,112519122433.2599,115212479480.8081
178,2014-11,118004835192.4648,109984186320.202
179,2014-12,127617165432.4892,128898975272.7273
180,2015-01,125302658992.9192,100825492552.5252
