month,date,vol,vol_unadj,age_group
72,2006-01,21809378525.06605,15765134548.48486,Younger than 30
72,2006-01,74786253713.18733,70458195805.05052,Age 45-64
72,2006-01,87193192734.15352,75288653293.93939,Age 30-44
72,2006-01,9376760942.124275,9258954317.171719,Age 65 and older
73,2006-02,23249579781.91708,17693430442.92929,Younger than 30
73,2006-02,76992358971.24548,72535468066.66667,Age 45-64
73,2006-02,87771456808.12608,79768941005.05052,Age 30-44
73,2006-02,9910290902.100092,10202039088.38383,Age 65 and older
74,2006-03,24182631750.47527,25103004819.69698,Younger than 30
74,2006-03,77990226893.85814,93057375073.23233,Age 45-64
74,2006-03,87580790215.48523,103379313811.6162,Age 30-44
74,2006-03,9716903039.034733,12384722715.15152,Age 65 and older
75,2006-04,22243025783.38087,22544696623.73737,Younger than 30
75,2006-04,72320753412.89861,82301817181.81821,Age 45-64
75,2006-04,82853479867.90329,90218403941.91922,Age 30-44
75,2006-04,9462076272.203381,11044083537.37374,Age 65 and older
76,2006-05,10395556667.46849,12395477559.59596,Age 65 and older
76,2006-05,23335060726.32702,26553032323.23233,Younger than 30
76,2006-05,77314768833.07536,89308009400.00002,Age 45-64
76,2006-05,89551167664.82043,101757122660.6061,Age 30-44
77,2006-06,10884089413.71642,11745723599.49495,Age 65 and older
77,2006-06,23560731558.43784,27317555369.19191,Younger than 30
77,2006-06,82808979821.51318,91631782100.50505,Age 45-64
77,2006-06,94780903204.6028,108221259257.0707,Age 30-44
78,2006-07,11991933235.21731,11207020154.0404,Age 65 and older
78,2006-07,22205938303.29278,24201140305.55555,Younger than 30
78,2006-07,84430777140.42432,80967108755.55556,Age 45-64
78,2006-07,93429550045.56769,93344573019.69699,Age 30-44
79,2006-08,104318408233.3322,103649324816.6667,Age 30-44
79,2006-08,13301461672.56558,12333022916.16162,Age 65 and older
79,2006-08,24607522284.523,26850885041.91919,Younger than 30
79,2006-08,96871931718.37276,89187159800.50505,Age 45-64
80,2006-09,100832118261.2708,81979636564.1414,Age 45-64
80,2006-09,107812070119.3678,91989971030.30305,Age 30-44
80,2006-09,14494413144.3412,11531490509.09091,Age 65 and older
80,2006-09,24357207983.099,23477762990.90908,Younger than 30
81,2006-10,103307875540.9621,96364359994.44446,Age 30-44
81,2006-10,13994935130.36659,12066946215.15151,Age 65 and older
81,2006-10,23902538602.20922,25097449919.19191,Younger than 30
81,2006-10,98463253780.96506,90723250954.54546,Age 45-64
82,2006-11,13423366504.90695,11710515374.74748,Age 65 and older
82,2006-11,23920220899.36991,23770021280.30304,Younger than 30
82,2006-11,88978085653.46611,81839255923.23233,Age 45-64
82,2006-11,98283212967.37955,90629891239.89902,Age 30-44
83,2006-12,13834286940.78723,12142988791.41414,Age 65 and older
83,2006-12,23870820570.5788,23508133854.54545,Younger than 30
83,2006-12,89533504837.03883,89042691755.55559,Age 45-64
83,2006-12,98091269773.11081,96715601874.74747,Age 30-44
84,2007-01,12880029551.20067,12811772532.32323,Age 65 and older
84,2007-01,23991052400.8238,17323194751.51516,Younger than 30
84,2007-01,87003737740.70045,83005397071.71718,Age 45-64
84,2007-01,92912935461.26271,80123843480.80809,Age 30-44
85,2007-02,11351988161.07896,11768654537.37374,Age 65 and older
85,2007-02,22185231254.8668,16728445060.60606,Younger than 30
85,2007-02,80804779392.61154,75926537503.53537,Age 45-64
85,2007-02,83407430285.76045,75555450259.09093,Age 30-44
86,2007-03,11419875476.85278,14417809462.62626,Age 65 and older
86,2007-03,20139625067.23027,20754556193.9394,Younger than 30
86,2007-03,75109512524.34653,88992156694.94949,Age 45-64
86,2007-03,76471102926.5573,89680859565.65656,Age 30-44
87,2007-04,11564452864.24176,13455485268.18182,Age 65 and older
87,2007-04,19180350279.60375,19575712597.47475,Younger than 30
87,2007-04,73457746555.7231,82933357708.58588,Age 45-64
87,2007-04,76072408259.12163,83609315925.25253,Age 30-44
88,2007-05,11488778433.36383,13532812441.9192,Age 65 and older
88,2007-05,19846149156.6021,22448975647.9798,Younger than 30
88,2007-05,75120501057.52599,85763714929.29298,Age 45-64
88,2007-05,76326548326.58615,85870168419.19193,Age 30-44
89,2007-06,11235859890.51875,12170448737.87879,Age 65 and older
89,2007-06,18193532956.82583,21210068837.37374,Younger than 30
89,2007-06,75828858914.40244,85735871530.80811,Age 30-44
89,2007-06,75848860077.30986,82999342359.59595,Age 45-64
90,2007-07,11312140285.88626,10547810736.86869,Age 65 and older
90,2007-07,17821944250.55422,19429284716.66666,Younger than 30
90,2007-07,73935275102.57054,70526469213.13133,Age 45-64
90,2007-07,76803774587.13023,77019528720.70708,Age 30-44
91,2007-08,10535828220.77888,9776886526.767675,Age 65 and older
91,2007-08,18283630613.9638,19650595878.28283,Younger than 30
91,2007-08,71655564051.3194,70682491532.82829,Age 30-44
91,2007-08,73508659740.0699,67852682053.53538,Age 45-64
92,2007-09,14823990341.54501,14384841436.36364,Younger than 30
92,2007-09,61108002267.65033,50565603869.19192,Age 45-64
92,2007-09,62216765258.68822,53256746927.77779,Age 30-44
92,2007-09,9326891233.202253,7433821527.777779,Age 65 and older
93,2007-10,15539673235.63505,16479127450,Younger than 30
93,2007-10,60331446846.0218,56435766785.35354,Age 45-64
93,2007-10,60725742092.4396,57587337623.7374,Age 30-44
93,2007-10,9732590901.284931,8444581700.505051,Age 65 and older
94,2007-11,14495491095.5062,14594354198.48485,Younger than 30
94,2007-11,57773770773.19892,54447045063.63636,Age 45-64
94,2007-11,58536100700.80624,55582836476.76768,Age 30-44
94,2007-11,9423819395.722235,8355182255.050505,Age 65 and older
95,2007-12,14998437810.51576,14980343054.04041,Younger than 30
95,2007-12,53527204061.76234,54534254104.54546,Age 45-64
95,2007-12,56169000319.35545,56352318783.33335,Age 30-44
95,2007-12,8233133469.534312,7386091712.121211,Age 65 and older
96,2008-01,14008295452.59554,10108209454.54545,Younger than 30
96,2008-01,52817869375.96059,51253999644.94949,Age 45-64
96,2008-01,56529420484.23758,48529721468.18182,Age 30-44
96,2008-01,8313421975.79731,8407868360.101013,Age 65 and older
97,2008-02,10413971432.72584,10828515895.95959,Age 65 and older
97,2008-02,19171793986.67208,14122863274.74748,Younger than 30
97,2008-02,76376505849.33554,70909022316.66666,Age 45-64
97,2008-02,80759419925.73538,71952531460.10101,Age 30-44
98,2008-03,14932657262.03118,15117628384.34343,Younger than 30
98,2008-03,57786280336.49029,66813878237.87875,Age 45-64
98,2008-03,58786084431.0462,67862062507.57575,Age 30-44
98,2008-03,8831997015.18189,10962323846.46465,Age 65 and older
99,2008-04,14417584986.62791,14764130589.89899,Younger than 30
99,2008-04,56027729783.08836,61405979524.74747,Age 30-44
99,2008-04,58653885815.12931,64796314856.56567,Age 45-64
99,2008-04,9035952029.136774,10341200843.43434,Age 65 and older
100,2008-05,13781080932.85518,15428468697.9798,Younger than 30
100,2008-05,51017631134.11569,55420283169.19192,Age 30-44
100,2008-05,51818300754.9531,57409367838.38383,Age 45-64
100,2008-05,7385027079.253634,8347086731.818184,Age 65 and older
101,2008-06,12942053215.1587,15128597476.26263,Younger than 30
101,2008-06,46110781783.3829,49426543889.89899,Age 45-64
101,2008-06,46955539938.44288,52435841858.08083,Age 30-44
101,2008-06,6902615324.883674,7406890715.656565,Age 65 and older
102,2008-07,13634575348.07392,14913300447.47475,Younger than 30
102,2008-07,45316776180.13093,43065791721.21214,Age 45-64
102,2008-07,46294638172.52503,45965618807.07071,Age 30-44
102,2008-07,6134043682.855025,5628756185.353536,Age 65 and older
103,2008-08,12884927845.16249,13616030380.30303,Younger than 30
103,2008-08,39551747806.29262,36787035222.22222,Age 45-64
103,2008-08,41776907858.49373,41220862726.26263,Age 30-44
103,2008-08,5894051159.702094,5544580783.838383,Age 65 and older
104,2008-09,13443624193.18994,13254962075.75758,Younger than 30
104,2008-09,40711622503.90855,34788319797.9798,Age 45-64
104,2008-09,43909636206.86235,38947934209.09092,Age 30-44
104,2008-09,6072572200.207186,5021123646.969697,Age 65 and older
105,2008-10,11778635020.09486,12697783382.82828,Younger than 30
105,2008-10,40405194544.7942,39048238059.59596,Age 45-64
105,2008-10,44555490348.11741,43742947250.50505,Age 30-44
105,2008-10,6154231041.328656,5457613446.969698,Age 65 and older
106,2008-11,26037967526.55118,25635200508.08081,Age 45-64
106,2008-11,27358344709.51058,27437835395.95959,Age 30-44
106,2008-11,4222042314.407146,3893153039.898989,Age 65 and older
106,2008-11,9157429580.353426,9381427381.81818,Younger than 30
107,2008-12,12097981309.86597,12287523986.86869,Younger than 30
107,2008-12,36039805644.87723,37782865765.15153,Age 45-64
107,2008-12,42613639282.48042,44328630784.34344,Age 30-44
107,2008-12,6154055327.983609,5798411176.262629,Age 65 and older
108,2009-01,14826109661.53997,10551143444.9495,Younger than 30
