month,date,vol,vol_unadj,income_level_group
123,2010-04,12440396233.94588,12021833696.46464,Moderate
123,2010-04,1847095549.820954,1696374699.494949,Low
123,2010-04,44079376317.02134,41271803185.85857,Middle
123,2010-04,67335692137.84531,57861128342.42426,High
124,2010-05,10781227875.82637,10998240820.70707,Moderate
124,2010-05,1650287945.668069,1617483729.29293,Low
124,2010-05,41615395975.99206,38778722850.50507,Middle
124,2010-05,57391699787.02852,52844441902.52527,High
125,2010-06,12891735069.86261,14027180916.66667,Moderate
125,2010-06,1881462956.537591,2206054127.777778,Low
125,2010-06,43986576526.12337,46522286549.49496,Middle
125,2010-06,70928818699.26118,69567404124.7475,High
126,2010-07,10314508996.18889,11129711785.35353,Moderate
126,2010-07,1619409810.462994,1635165209.090909,Low
126,2010-07,42904564627.78745,42441231307.07073,Middle
126,2010-07,76641779051.30479,72705146091.91919,High
127,2010-08,11819172773.33959,12826297263.63636,Moderate
127,2010-08,1601194912.344594,1848435811.616161,Low
127,2010-08,49080269438.24619,52324302174.74747,Middle
127,2010-08,86015785479.04716,92837129998.98993,High
128,2010-09,13139274200.42422,13537373772.72727,Moderate
128,2010-09,1585327696.678115,1657542035.858586,Low
128,2010-09,51394848309.75106,55880628946.9697,Middle
128,2010-09,90596488903.65302,102332927358.5859,High
129,2010-10,12966018494.66977,13825297717.17172,Moderate
129,2010-10,1699635401.417194,1866079014.646466,Low
129,2010-10,50207882909.05029,57723196619.69698,Middle
129,2010-10,88427498795.43636,104010335602.5252,High
130,2010-11,100042201055.638,110349183047.4747,High
130,2010-11,13199797252.62143,13455382023.23232,Moderate
130,2010-11,1773009519.63981,1649881371.212122,Low
130,2010-11,54679368174.67295,59094585209.59595,Middle
131,2010-12,13896345797.53967,14349001709.59596,Moderate
131,2010-12,1695627835.111398,1610927623.737374,Low
131,2010-12,53930670830.02244,55745124841.91917,Middle
131,2010-12,95579543164.55228,102997484940.9091,High
132,2011-01,12394520674.46268,10409438921.71717,Moderate
132,2011-01,1727556942.604911,1495025240.40404,Low
132,2011-01,47016902103.15033,42078740358.08081,Middle
132,2011-01,78158770689.64854,73128989392.42422,High
133,2011-02,10734661645.43036,8814473769.696968,Moderate
133,2011-02,1574414338.915266,1372647316.161617,Low
133,2011-02,39938850109.22926,31789765385.85859,Middle
133,2011-02,67621004712.51575,55481938728.28284,High
134,2011-03,1413970343.838836,1402855850,Low
134,2011-03,37184534189.49141,35644471695.45456,Middle
134,2011-03,59446107358.03034,56049687117.67677,High
134,2011-03,9925601014.080038,9324732429.797981,Moderate
135,2011-04,1234253416.015424,1139029121.212122,Low
135,2011-04,34243202906.12388,32091602856.56564,Middle
135,2011-04,56533013832.00901,49190839518.18184,High
135,2011-04,9474087109.062178,9204753056.060602,Moderate
136,2011-05,1261189155.953746,1249192885.353536,Low
136,2011-05,33707588748.43986,32247347438.88888,Middle
136,2011-05,50797719596.47923,47717456024.7475,High
136,2011-05,9275071132.079422,9545215315.151508,Moderate
137,2011-06,1177721851.302788,1387418588.888889,Low
137,2011-06,35027695425.62311,37314497060.60606,Middle
137,2011-06,57531610423.18771,57587731260.60606,High
137,2011-06,9241526283.499081,10112837794.44444,Moderate
138,2011-07,1324047063.838129,1355491547.474747,Low
138,2011-07,34471114155.37727,34907898016.66667,Middle
138,2011-07,59226261552.70362,58237858249.49496,High
138,2011-07,9879464753.335672,10753491421.71718,Moderate
139,2011-08,10219416201.84515,11101143566.16162,Moderate
139,2011-08,1418939424.93481,1625574557.070707,Low
139,2011-08,36765193619.86787,39655942194.44445,Middle
139,2011-08,63879074518.83817,69428085423.73737,High
140,2011-09,11081653741.58129,11389331014.14141,Moderate
140,2011-09,1450998671.885617,1509042448.989899,Low
140,2011-09,42794282239.05689,45866408651.01009,Middle
140,2011-09,79001552623.41049,86827442089.39394,High
141,2011-10,11137687172.76901,11790710773.73737,Moderate
141,2011-10,1536218216.869373,1675490886.868687,Low
141,2011-10,44626959431.13915,50395693365.65656,Middle
141,2011-10,81476341458.20477,93542413945.95959,High
142,2011-11,11853585223.81634,11951233872.72727,Moderate
142,2011-11,1905208342.459228,1768488026.767678,Low
142,2011-11,46144907993.48759,48729498594.94949,Middle
142,2011-11,85397029209.41896,91920972176.26259,High
143,2011-12,11848050901.10851,12179403603.53535,Moderate
143,2011-12,1525365808.169799,1446520889.898989,Low
143,2011-12,46382473826.09754,47359481056.56567,Middle
143,2011-12,82754818130.69243,87905720753.53532,High
144,2012-01,12270019826.49689,10176412149.49495,Moderate
144,2012-01,1455227605.568508,1242259373.737373,Low
144,2012-01,47302503857.16016,41399700678.28282,Middle
144,2012-01,83406701437.25247,76370259492.92926,High
145,2012-02,108237117595.795,88247873890.40405,High
145,2012-02,13903333988.6385,11331801140.40404,Moderate
145,2012-02,1832181945.578008,1588750207.070707,Low
145,2012-02,61285929062.02572,48698591429.29293,Middle
146,2012-03,100965438982.3802,95454566298.48488,High
146,2012-03,14013267333.61493,13145727388.88889,Moderate
146,2012-03,1784726945.466845,1766527369.69697,Low
146,2012-03,56567914204.75208,53926703720.70708,Middle
147,2012-04,13840097974.62982,13634109747.47475,Moderate
147,2012-04,1911075157.407882,1780200368.686869,Low
147,2012-04,53977623842.78999,51432275566.16165,Middle
147,2012-04,94087518033.24478,84795476261.61618,High
148,2012-05,13599549286.90884,14217957824.74747,Moderate
148,2012-05,1864251084.069422,1888578900,Low
148,2012-05,54860123230.67902,54836451663.13127,Middle
148,2012-05,93508609139.58501,91618177395.45453,High
149,2012-06,13850837160.70513,15304838025.75759,Moderate
149,2012-06,1580234051.662018,1862259270.202021,Low
149,2012-06,53672609081.64529,58116115345.45456,Middle
149,2012-06,93264426879.51782,96522846990.40402,High
150,2012-07,13819111717.03731,15232642754.54546,Moderate
150,2012-07,1917642049.462452,2009499190.40404,Low
150,2012-07,55422192028.29995,58618485925.75756,Middle
150,2012-07,96242619200.23546,100395308807.5758,High
151,2012-08,108336956526.5791,118883360005.5556,High
151,2012-08,15705993755.70963,17141309195.95959,Moderate
151,2012-08,2162427510.875653,2454356230.808081,Low
151,2012-08,60422962069.50626,66337593562.12122,Middle
152,2012-09,14704168945.29478,15061326612.12122,Moderate
152,2012-09,2292581570.780662,2370880877.272727,Low
152,2012-09,55304337991.66131,57858130060.60606,Middle
152,2012-09,95386109324.06374,100149380639.394,High
