month,date,vol,vol_unadj,credit_score_group
84,2007-01,102088749927.0054,95411901228.78784,Super-prime
84,2007-01,14144344099.07089,12791133787.37373,Subprime
84,2007-01,26546140526.63593,23537935086.86869,Near-prime
84,2007-01,57923317822.02226,51453824053.03033,Prime
84,2007-01,9969018724.328327,9357248310.60606,Deep subprime
85,2007-02,12639538325.16011,11430798534.34344,Subprime
85,2007-02,23316936120.13511,21998240950.00001,Near-prime
85,2007-02,52715991523.4633,47898209345.45455,Prime
85,2007-02,8219027029.955326,7557053772.222225,Deep subprime
85,2007-02,91620214755.04692,89946295807.07071,Super-prime
86,2007-03,10900093186.72693,11259921424.24242,Subprime
86,2007-03,23606849393.00904,24497632039.39394,Near-prime
86,2007-03,50914114749.07858,55778167650.00002,Prime
86,2007-03,6995077754.08534,7422745616.666669,Deep subprime
86,2007-03,92607145652.91205,113424368299.495,Super-prime
87,2007-04,20585058220.54433,21371775787.37375,Near-prime
87,2007-04,47497218660.15693,51522996568.68685,Prime
87,2007-04,6592396135.163702,6534804881.313131,Deep subprime
87,2007-04,93042640577.68489,109253044310.101,Super-prime
87,2007-04,9839152411.0285,10045298387.37374,Subprime
88,2007-05,10761929784.11535,11361448627.77777,Subprime
88,2007-05,21192854675.11271,22224492850.50506,Near-prime
88,2007-05,49682524873.82003,53761798147.9798,Prime
88,2007-05,6659134729.996016,6726952414.141415,Deep subprime
88,2007-05,97677193799.71117,112576818496.9697,Super-prime
89,2007-06,100484172685.402,111598923642.4243,Super-prime
89,2007-06,19801509337.73183,21406807088.8889,Near-prime
89,2007-06,45509856031.33395,50138729972.22221,Prime
89,2007-06,6047996300.559295,6567302249.494953,Deep subprime
89,2007-06,9722151196.350195,10644231986.36363,Subprime
90,2007-07,19143016340.56221,19968335132.32323,Near-prime
90,2007-07,43784104317.73046,44153345571.71719,Prime
90,2007-07,6292474498.14748,6464255613.131311,Deep subprime
90,2007-07,9768643485.882788,10312783521.71717,Subprime
90,2007-07,98930482787.20772,95347385747.47476,Super-prime
91,2007-08,105031728677.4973,93169705081.81821,Super-prime
91,2007-08,17994021706.80522,18307171914.64647,Near-prime
91,2007-08,42929072246.91805,41007163784.34343,Prime
91,2007-08,5345887994.032591,5498847725.252524,Deep subprime
91,2007-08,9189281210.915512,8516391476.26263,Subprime
92,2007-09,14722471793.49039,14109925595.45454,Near-prime
92,2007-09,31933534436.49002,30138941154.54547,Prime
92,2007-09,3724238467.009668,3942136398.484848,Deep subprime
92,2007-09,6470231111.894085,6732129988.888891,Subprime
92,2007-09,89992429876.84131,69729963476.26263,Super-prime
93,2007-10,14709338225.31282,14824207753.53535,Near-prime
93,2007-10,33285505569.11535,33251452441.91921,Prime
93,2007-10,4532985844.212505,4572982973.232324,Deep subprime
93,2007-10,7318049557.132139,7585150911.61616,Subprime
93,2007-10,87774590082.78587,77832955008.58588,Super-prime
94,2007-11,13846738656.24442,13423288271.21212,Near-prime
94,2007-11,34685821144.92818,33178160925.75756,Prime
94,2007-11,4257596966.595713,3919197645.454546,Deep subprime
94,2007-11,7132772200.66024,6359489820.202022,Subprime
94,2007-11,80602841147.36406,75365026153.0303,Super-prime
95,2007-12,13318824773.71428,13012902105.55556,Near-prime
95,2007-12,31974394022.49969,31503213824.24242,Prime
95,2007-12,3774790484.970381,3623773717.171718,Deep subprime
95,2007-12,6103036235.743683,6391391632.323233,Subprime
95,2007-12,77974099488.90466,77821145114.6465,Super-prime
96,2008-01,12111823421.14296,10728270351.51515,Near-prime
96,2008-01,30900733412.76916,27525720534.84848,Prime
96,2008-01,3594072600.342877,3309756022.222223,Deep subprime
96,2008-01,5933234058.391497,5294047079.797982,Subprime
96,2008-01,75257808409.16914,70900587026.26266,Super-prime
97,2008-02,113738168431.3949,111503737281.8182,Super-prime
97,2008-02,13121790178.75262,12217654483.33333,Near-prime
97,2008-02,3623941322.226822,3329448009.090909,Deep subprime
97,2008-02,37589040591.06214,33935698005.0505,Prime
97,2008-02,6777983174.269744,6073709500,Subprime
98,2008-03,11701943564.12073,12128028838.38384,Near-prime
98,2008-03,29851890847.36793,32584813900.50505,Prime
98,2008-03,3270045623.578978,3525529576.767674,Deep subprime
98,2008-03,5758487153.82761,5989542426.767678,Subprime
98,2008-03,87698165352.00487,105645274539.899,Super-prime
99,2008-04,11780217254.70254,12212600794.9495,Near-prime
99,2008-04,28800951704.94153,30941977168.68687,Prime
99,2008-04,3220361544.215761,3170254951.515152,Deep subprime
99,2008-04,5556576561.524286,5645272086.868688,Subprime
