fips_code,state_abbr,value
1,AL,-.3521443865688205
2,AK,-.8202356222593348
4,AZ,-.4882754666026691
5,AR,-.0232336705885293
6,CA,-.5353254557006784
8,CO,-.4670888059009951
9,CT,-.1568240645796357
10,DE,-.2585994595179623
11,DC,-.7803363899603261
12,FL,-.480055762394542
13,GA,-.5504420702094051
15,HI,-.5885275347361782
16,ID,-.6415770957032858
17,IL,-.4668695078155596
18,IN,-.3872106853540306
19,IA,-.0362541112006322
20,KS,.3802673070868529
21,KY,-.404601277919199
22,LA,-.157527803911699
23,ME,-.1663458030688429
24,MD,-.6607256544590421
25,MA,-.0284846588762883
26,MI,-.5517016439560634
27,MN,-.2664194887098424
28,MS,-.6638791817006844
29,MO,-.3989988984008235
30,MT,-.6663057932622857
31,NE,-.7495815392417223
32,NV,.2242333423118056
33,NH,-.6879382679191024
34,NJ,-.4782485631663354
35,NM,-.0819972595885656
36,NY,-.5252072852032759
37,NC,-.2130192290597606
38,ND,-.7905368404352396
39,OH,-.3821115086401029
40,OK,-.1472941892038489
41,OR,-.487252746814881
42,PA,-.4821732787241079
44,RI,-.5193645215576778
45,SC,-.6803465572371514
46,SD,.0712172356875839
47,TN,-.4294209180707239
48,TX,-.4893244698180592
49,UT,-.2853502052271717
50,VT,-.7002877681409214
51,VA,-.6351165072226788
53,WA,-.6328337686807336
54,WV,-.6247029583028946
55,WI,.7808580632277082
56,WY,1.77956850611324
