month,date,num,num_unadj
72,2006-01,1406520.868568251,1232977.777777778
73,2006-02,1484607.640717774,978678.7878787888
74,2006-03,1598791.635835594,924689.898989899
75,2006-04,1438354.312814057,774417.6767676771
76,2006-05,1731479.982540405,1190164.141414141
77,2006-06,2170142.889914392,1462048.989898989
78,2006-07,1789561.535865858,1463313.636363635
79,2006-08,1615178.020301107,4075648.484848481
80,2006-09,1358193.990508404,3006787.373737374
81,2006-10,1537074.921400547,1751374.242424242
82,2006-11,1582296.349045218,1176538.383838383
83,2006-12,1586797.615920233,857463.1313131311
84,2007-01,1541872.431748674,1361513.636363636
85,2007-02,1507878.680082511,1008783.838383839
86,2007-03,1564081.963311511,901444.9494949497
87,2007-04,1507685.116129504,814001.0101010102
88,2007-05,1588488.723268533,1079473.232323232
89,2007-06,1543516.285070184,1036069.696969697
90,2007-07,1501841.719368012,1205199.494949494
91,2007-08,1566792.279634281,3944839.898989898
92,2007-09,1333361.745223701,2969753.030303031
93,2007-10,1463472.769445641,1685243.939393939
94,2007-11,1506985.085454878,1108446.96969697
95,2007-12,1402978.258849161,759936.3636363634
96,2008-01,1514853.243180546,1343965.15151515
97,2008-02,1502504.826186241,1026794.949494949
98,2008-03,1429604.869093479,815570.2020202017
99,2008-04,1512686.492720487,821528.2828282827
100,2008-05,1434543.994287486,951070.7070707072
101,2008-06,1290917.440255278,866909.595959596
102,2008-07,1584932.34044857,1226329.797979797
103,2008-08,1581729.829332558,3972741.919191916
104,2008-09,1659686.124450767,3776281.818181819
105,2008-10,1746127.244194355,2040996.464646465
106,2008-11,1520010.572246577,1102891.414141414
107,2008-12,1791048.758351197,965194.4444444445
108,2009-01,1722332.288153761,1513385.858585858
109,2009-02,1770424.161723811,1209597.979797979
110,2009-03,1814585.140999792,1021940.404040404
111,2009-04,1773476.322413358,960868.181818182
112,2009-05,1819670.242178072,1192429.797979798
113,2009-06,1725017.539490708,1157850.505050505
114,2009-07,1774259.474972495,1302060.1010101
115,2009-08,1643831.327009224,4200999.999999997
116,2009-09,1681946.747618527,3926541.414141415
117,2009-10,1698830.142575689,1986837.373737373
118,2009-11,1755877.928070769,1250280.303030303
119,2009-12,1871678.95069485,976526.7676767677
120,2010-01,1772349.823983266,1537795.95959596
121,2010-02,1843578.346026685,1237334.848484847
122,2010-03,2034124.489054592,1116432.828282828
123,2010-04,1746903.765108018,932593.9393939392
124,2010-05,1552134.974746898,1009963.131313131
125,2010-06,1694972.474252862,1140828.787878788
126,2010-07,1538439.813908878,1072733.333333333
127,2010-08,1577422.570422482,4161896.464646462
128,2010-09,1640002.184574868,3947276.262626261
129,2010-10,1642589.166157004,1902975.757575758
