month,date,vol,vol_unadj
72,2006-01,11989030993.88354,9374011768.181816
73,2006-02,12916077769.09445,7674616911.616161
74,2006-03,15479212129.35396,8579162929.797985
75,2006-04,15078554390.9432,7849106182.828286
76,2006-05,18933196798.46685,12258623413.13132
77,2006-06,22867524505.926,16776166196.9697
78,2006-07,19326856220.52755,17950829099.99999
79,2006-08,11687012440.52937,33081721227.27274
80,2006-09,10671288609.02673,22648000384.34344
81,2006-10,13342980566.22379,13719841983.83839
82,2006-11,15293605392.43615,10469576107.57576
83,2006-12,13482312646.94268,7695344313.131314
84,2007-01,12187922039.39245,9572826801.51516
85,2007-02,12585364688.95216,7486027970.202017
86,2007-03,13353412599.15709,7423280474.242422
87,2007-04,12774253687.65548,6651769041.919191
88,2007-05,11993986718.8116,7719604397.979795
89,2007-06,12263838913.19597,8955236656.060604
90,2007-07,11257666153.5275,10309997539.89899
91,2007-08,10513107544.38203,29837548619.19194
92,2007-09,10007348133.73677,21308575905.55556
93,2007-10,9962071364.034746,10297935601.51515
94,2007-11,11385291496.26622,7764127291.414145
95,2007-12,9961145715.581547,5645907076.767678
96,2008-01,10869005586.26883,8612024569.191921
97,2008-02,10737508885.00192,6402914606.060602
98,2008-03,8829597493.78076,4887835139.898988
99,2008-04,9618901716.095964,5034132682.828285
100,2008-05,8903067680.89621,5688193388.888888
101,2008-06,7277698427.595788,5271762152.525253
102,2008-07,9922501498.770523,8821144236.36364
103,2008-08,10593613776.45765,30323712823.23233
104,2008-09,11444116517.06624,24458747781.31315
105,2008-10,11969069029.60979,12487912783.33333
106,2008-11,9700251070.304821,6585612715.151515
107,2008-12,11739062171.45296,6550044163.636364
108,2009-01,11473216209.76761,9168551361.111107
109,2009-02,10991013901.12691,6552887967.171715
110,2009-03,11258971377.22572,6152183096.464649
111,2009-04,10948100078.17879,5741811270.202022
112,2009-05,10981037729.35906,7027942267.676766
113,2009-06,9245188977.919336,6652021378.282831
114,2009-07,11402153633.31299,9804717838.888887
115,2009-08,10971635992.77852,31828405103.03032
116,2009-09,11160794502.37386,23949986995.45454
117,2009-10,11348334104.73962,11937320944.44444
118,2009-11,11194758270.50083,7482136283.838386
119,2009-12,12018932921.78113,6566841476.767679
120,2010-01,11608499581.49042,9319836524.747477
121,2010-02,11911149021.02039,7062022328.78788
122,2010-03,12600595198.3576,6783636967.676766
123,2010-04,11671555407.85223,6131919348.989901
124,2010-05,10642323912.81371,6927074064.646466
125,2010-06,11105595918.70787,7954891775.757575
126,2010-07,10466634673.02309,8761528955.555557
127,2010-08,11353144830.31544,33483899692.92928
128,2010-09,11945645104.11679,25625408428.28283
129,2010-10,12142184258.69132,12727169111.61616
130,2010-11,12001927918.07898,7894263109.595958
131,2010-12,11447124575.58571,6127792937.878788
132,2011-01,12002723243.91366,9600533072.727274
133,2011-02,11963485673.11783,7047523202.525252
134,2011-03,12096789281.99676,6471819028.282828
135,2011-04,15934951588.00244,8422254165.656565
136,2011-05,13661047434.37313,9086638283.838387
137,2011-06,12730820321.90388,9094574146.969692
138,2011-07,12494102630.4683,10349709102.0202
139,2011-08,12969659628.13808,38748882372.72727
140,2011-09,12162203403.13411,26064295891.9192
141,2011-10,10127709469.79904,10451786369.69697
142,2011-11,12501869541.50942,8038639306.060608
143,2011-12,11816726333.03024,6252184878.282828
144,2012-01,11887382793.03474,9453851402.525251
145,2012-02,11736094795.31605,6893370059.595961
146,2012-03,11903115582.15721,6409648568.181817
147,2012-04,11907583166.87957,6392198745.959596
148,2012-05,13261086255.7894,9017250397.474747
149,2012-06,13567175777.54555,9710421903.030302
150,2012-07,14940909473.71166,12447723634.34344
151,2012-08,12670678822.15616,37985966954.54544
152,2012-09,11186975582.75935,23851772672.72727
153,2012-10,12115263733.02008,12189414920.70707
154,2012-11,11242255624.60373,7117346383.838384
155,2012-12,11022672245.69476,5856231505.555554
156,2013-01,11655371241.13589,9250235961.616163
157,2013-02,11313632467.01339,6699727144.949498
158,2013-03,10057062919.99814,5520614278.787878
159,2013-04,10159435229.72071,5550118608.585856
160,2013-05,10401655129.56019,7179185162.626262
161,2013-06,8654544311.833254,6228319820.202019
162,2013-07,9898409995.439188,8346585270.20202
163,2013-08,10790671595.39233,32179524202.52525
164,2013-09,10754472932.06227,22756011724.74748
165,2013-10,10512070129.54337,10330587164.64646
166,2013-11,11015499591.82544,6852646388.888892
167,2013-12,10246857691.47038,5590215825.757577
168,2014-01,10330483259.37319,8235681828.787881
169,2014-02,10656477729.40924,6387009867.171719
170,2014-03,10778314886.67845,6072362865.151516
171,2014-04,11448661814.74911,6348099312.121214
172,2014-05,10349085021.96309,7261096739.393941
173,2014-06,10462529077.52531,7581657639.898993
174,2014-07,11551654591.54269,9859439899.494942
175,2014-08,11407948947.23443,33697009042.92929
176,2014-09,11938134691.31343,24929394645.9596
177,2014-10,11631955584.52283,11169559232.82829
178,2014-11,11551334785.96074,7138353166.161616
179,2014-12,15077634113.41336,8543621152.525248
180,2015-01,12383137401.111,9959063383.333334
181,2015-02,12266649555.28321,7438802150.000002
182,2015-03,12719037810.07434,7374648413.636361
183,2015-04,12354111236.76265,6933535424.747478
184,2015-05,11469930755.46721,8162101688.38384
185,2015-06,12105494407.43971,8818877382.323229
186,2015-07,12304555812.5648,10635975405.05051
187,2015-08,11060252813.00668,32400369427.27274
188,2015-09,12143942330.83753,24833537637.37373
189,2015-10,11835473618.43636,11166407684.84849
190,2015-11,11393751973.40366,7041117684.343435
191,2015-12,14345947804.23631,8427666844.9495
192,2016-01,11510619395.52329,9423779041.919188
193,2016-02,12143287563.80122,7420883093.43435
194,2016-03,12606129867.57808,7436123043.939397
195,2016-04,11756680847.18894,6655245581.313135
196,2016-05,12231508619.49204,8857694556.565657
197,2016-06,12225346504.4052,8899365033.838383
198,2016-07,11478678591.63648,10093519000
199,2016-08,12226265106.51498,35638588585.85859
200,2016-09,12129784421.8967,24172787492.42425
201,2016-10,11136703058.47232,10370648087.87878
202,2016-11,14065101963.89721,8756162574.747471
203,2016-12,13850861014.13021,8344033131.31313
204,2017-01,12699619496.17958,10614924222.72727
205,2017-02,13065110147.98718,8022672720.202017
206,2017-03,14461936677.77049,8603128243.93939
207,2017-04,11411944034.33666,6438047515.151515
208,2017-05,13480038416.24068,9897294429.292925
209,2017-06,13709338409.28212,9869891374.747477
210,2017-07,12006584989.54155,10778427416.16162
211,2017-08,12552757486.59224,36688188213.13132
212,2017-09,12081341948.58866,23508272176.26262
213,2017-10,12103281170.14783,11144936367.67677
214,2017-11,12581759878.89174,7870419395.454548
215,2017-12,12294666027.42125,7497647805.555555
216,2018-01,12648888203.64459,10806515388.88889
217,2018-02,12219924290.31032,7538139026.262626
218,2018-03,11961204019.09382,7077630646.969698
219,2018-04,12403744366.18865,6890850707.575758
220,2018-05,12811343840.0554,9420427632.828283
221,2018-06,12790235744.78875,9055564305.050503
222,2018-07,12976087124.04192,11817208079.29292
223,2018-08,12572331767.91678,37059579358.58587
224,2018-09,11386633576.12626,21949874281.31313
225,2018-10,12580139776.90993,11395583939.89899
226,2018-11,12416226669.47938,7837372019.191916
227,2018-12,11935086886.35447,7313934323.737374
228,2019-01,12417142809.93776,10785665041.41414
229,2019-02,12126722942.36108,7466273475.757573
230,2019-03,12165465694.90452,7082786691.41414
231,2019-04,13141518770.93937,7108783016.666666
232,2019-05,12572426925.03739,9141693432.323227
233,2019-06,11784823120.51135,8163466644.949492
234,2019-07,13049839448.92646,12054561197.47474
235,2019-08,12453384120.00453,37061107836.36366
236,2019-09,12241764059.21054,23688745637.87878
237,2019-10,12889101772.37819,11566276625.25252
238,2019-11,12373386744.10217,7900629550.505051
239,2019-12,12554299407.84089,7681064371.21212
240,2020-01,12430227608.08158,10942837714.14141
241,2020-02,12626371697.6067,7647507376.262626
242,2020-03,13018161896.31425,7396855961.111115
243,2020-04,11898599212.18153,6170697905.555556
244,2020-05,9347282529.201849,6696675248.989898
245,2020-06,10096589971.93842,6923708291.919192
246,2020-07,10942127655.76509,10187903218.68686
247,2020-08,10375618868.08185,31118997291.41413
248,2020-09,10360935615.65857,20369431863.13132
249,2020-10,9679098106.212034,8642093929.797979
250,2020-11,9249231138.321571,5999264365.656564
251,2020-12,9405688201.814638,5718425856.565658
252,2021-01,9946195657.338823,8780085323.232321
253,2021-02,10882040027.7842,6397395018.181816
254,2021-03,10651713275.01807,5889765131.81818
255,2021-04,10511413582.81975,5190332115.151518
256,2021-05,9265884495.052633,6703217829.797977
257,2021-06,10966938800.42171,7536817332.323228
258,2021-07,10012635982.49229,9401108415.656567
259,2021-08,10646514699.1161,31979773661.61616
260,2021-09,10762754708.09226,21449937038.38384
261,2021-10,9473844038.021154,8458883355.555555
262,2021-11,10872972783.54078,7150093939.898987
263,2021-12,12212059093.4045,7361405061.111112
264,2022-01,11204386722.6009,9952659453.030304
265,2022-02,11725436097.77164,6649750875.252523
266,2022-03,11334132216.50015,6033767979.292929
267,2022-04,11868119210.34193,5546507155.555555
268,2022-05,11456192877.6311,8595873217.171715
269,2022-06,12191191602.65443,8548745478.787881
270,2022-07,12985728305.31708,12196155708.58586
271,2022-08,13189931070.17539,39605989916.16164
272,2022-09,13418804822.68058,26978764501.51516
273,2022-10,14537169560.25733,12910989013.63636
274,2022-11,23059106088.18699,15364867493.93939
275,2022-12,10820501298.75206,6491366631.818183
276,2023-01,9010043668.124533,8043831357.070706
277,2023-02,9451260181.47138,5173589607.575758
278,2023-03,9622845902.85825,4923961648.989901
279,2023-04,8260192476.220518,3702220127.777776
280,2023-05,9021858629.297846,7120686143.434347
281,2023-06,10594553135.70513,7582111304.545456
282,2023-07,10777439079.23229,10183526233.33333
283,2023-08,12629796377.49449,37711169451.01011
284,2023-09,13231704784.0931,26570409685.8586
285,2023-10,17699382490.04155,15750941859.0909
286,2023-11,14578807575.00429,9799183897.474745
