month,date,vol,vol_unadj,age_group
72,2006-01,2302910003.810299,1754742549.49495,Age 45-64
72,2006-01,3693277010.768895,3298183140.404042,Age 30-44
72,2006-01,5783301633.921013,4200456774.242424,Younger than 30
72,2006-01,72389534.13814759,68537837.87878786,Age 65 and older
73,2006-02,118882383.5434235,77605836.86868688,Age 65 and older
73,2006-02,2619374746.241636,1590976253.030303,Age 45-64
73,2006-02,3793677737.687836,2756645610.606061,Age 30-44
73,2006-02,6309708451.43267,3210800946.969697,Younger than 30
74,2006-03,138931831.149434,93655320.70707069,Age 65 and older
74,2006-03,3237464772.576574,2125509251.515152,Age 45-64
74,2006-03,4492287318.294318,3209224571.717172,Age 30-44
74,2006-03,7122613341.341053,3109876850.50505,Younger than 30
75,2006-04,132249364.7703391,78164738.38383836,Age 65 and older
75,2006-04,3095520508.734217,1929205127.272727,Age 45-64
75,2006-04,4475578369.951007,3049508308.080807,Age 30-44
75,2006-04,6677800772.585231,2762020957.575758,Younger than 30
76,2006-05,160018325.9785365,125872309.0909091,Age 65 and older
76,2006-05,4122704803.122759,2675413159.090909,Age 45-64
76,2006-05,5547484790.576265,4491443089.898992,Age 30-44
76,2006-05,8767238388.159891,4913013340.404038,Younger than 30
77,2006-06,11846127495.88201,7669933728.787881,Younger than 30
77,2006-06,152194210.3914455,118497733.3333334,Age 65 and older
77,2006-06,4913911721.609535,3419501082.828282,Age 45-64
77,2006-06,6177955674.584622,5462372747.47475,Age 30-44
78,2006-07,10393564659.16031,8777391123.737373,Younger than 30
78,2006-07,111701420.5020809,113859396.4646465,Age 65 and older
78,2006-07,3941319339.680763,3715846929.79798,Age 45-64
78,2006-07,5103071830.378413,5254058680.808079,Age 30-44
79,2006-08,2286115852.910463,6311933867.676765,Age 45-64
79,2006-08,3528820879.942505,7185310137.373735,Age 30-44
79,2006-08,5857096426.088978,19206297417.1717,Younger than 30
79,2006-08,98874822.32853614,226839935.8585859,Age 65 and older
80,2006-09,2165959538.485412,4643336259.090909,Age 45-64
80,2006-09,3130892920.855808,5511308872.222223,Age 30-44
80,2006-09,5238742657.275366,12179442393.43434,Younger than 30
80,2006-09,96978966.7167192,193712320.2020202,Age 65 and older
81,2006-10,110282136.8950622,117126447.4747475,Age 65 and older
81,2006-10,2526525990.835115,2506661007.575757,Age 45-64
81,2006-10,3715864884.211333,3844975206.060608,Age 30-44
81,2006-10,6846307397.431198,7187970513.131314,Younger than 30
82,2006-11,146121957.6313908,93092281.81818178,Age 65 and older
82,2006-11,2666548789.667951,1728602408.080807,Age 45-64
82,2006-11,3783296504.222094,2923434114.141416,Age 30-44
82,2006-11,8674896669.242023,5663813769.191921,Younger than 30
83,2006-12,115290953.84329,65029969.69696971,Age 65 and older
83,2006-12,2622856183.375309,1359035634.848485,Age 45-64
83,2006-12,3653843592.866238,2382291317.171718,Age 30-44
83,2006-12,6971458514.440969,3850755147.474746,Younger than 30
84,2007-01,114358711.1154345,107694054.040404,Age 65 and older
84,2007-01,2539959289.804351,1949677227.777778,Age 45-64
84,2007-01,3275327232.29048,2936705643.939394,Age 30-44
84,2007-01,6224799543.586954,4547323109.090906,Younger than 30
85,2007-02,129530913.3312274,84647873.23232323,Age 65 and older
85,2007-02,2913944488.424392,1767476762.626263,Age 45-64
85,2007-02,3325368986.907291,2422747853.030303,Age 30-44
85,2007-02,6195830068.695086,3166688581.818182,Younger than 30
86,2007-03,2766054795.061573,1805573287.373738,Age 45-64
86,2007-03,3461826183.102496,2488091229.797979,Age 30-44
86,2007-03,7001723795.163011,3041047675.757576,Younger than 30
86,2007-03,89054450.58524574,61114397.979798,Age 65 and older
87,2007-04,102464897.7740713,59467274.74747474,Age 65 and older
87,2007-04,2761010776.067628,1713029239.89899,Age 45-64
87,2007-04,3326449608.441798,2273002334.848485,Age 30-44
87,2007-04,6256605915.508275,2585319081.818182,Younger than 30
88,2007-05,102411590.2312112,79401404.54545456,Age 65 and older
88,2007-05,2487946567.809859,1599922865.151515,Age 45-64
88,2007-05,3066108954.645567,2474123679.797979,Age 30-44
88,2007-05,6345561665.210362,3535948011.616161,Younger than 30
89,2007-06,2520036023.163734,1743383706.565657,Age 45-64
89,2007-06,3116680994.669811,2754907583.838385,Age 30-44
89,2007-06,6765760288.762879,4337970092.929293,Younger than 30
89,2007-06,97680986.81896538,75199556.06060606,Age 65 and older
90,2007-07,122383630.4619162,123468220.2020202,Age 65 and older
90,2007-07,2283298982.860965,2110053654.040404,Age 45-64
90,2007-07,2779452963.883566,2844614875.757576,Age 30-44
90,2007-07,6228290159.355361,5194598022.727272,Younger than 30
91,2007-08,118297673.5407439,272484852.020202,Age 65 and older
91,2007-08,2104902127.268214,5818999011.616161,Age 45-64
91,2007-08,2853786405.499283,5802845885.353535,Age 30-44
91,2007-08,5406575668.912512,17821145487.37374,Younger than 30
92,2007-09,108024816.3846207,219767226.2626263,Age 65 and older
92,2007-09,1835624626.356335,3981073487.878788,Age 45-64
92,2007-09,2784685658.929814,4896063867.171718,Age 30-44
92,2007-09,5206604396.244118,12127602942.42424,Younger than 30
93,2007-10,1894222348.388628,1895807180.808081,Age 45-64
93,2007-10,2594451735.10462,2701935056.565656,Age 30-44
93,2007-10,5281108694.500697,5557831162.626262,Younger than 30
93,2007-10,93223082.89640127,99381170.70707072,Age 65 and older
94,2007-11,107427521.1953157,68596710.10101013,Age 65 and older
