month,date,vol,vol_unadj,income_level_group
123,2010-04,2080888809.585632,1413093324.242424,Moderate
123,2010-04,3081160172.785551,1641805877.272727,High
123,2010-04,4243189054.220023,2589077176.767677,Middle
123,2010-04,562487556.2820629,353580965.1515152,Low
124,2010-05,1843860494.058481,1427720197.474748,Moderate
124,2010-05,3011917583.508253,1991596189.393939,High
124,2010-05,3898086571.306577,2919676265.151515,Middle
124,2010-05,588486838.3324671,470519759.090909,Low
125,2010-06,2099947604.473449,1765507855.555556,Moderate
125,2010-06,3205469743.107143,2279632046.969697,High
125,2010-06,4306510406.418599,3330990051.515152,Middle
125,2010-06,587228258.4504778,468608743.9393941,Low
126,2010-07,2087259902.326274,1839228831.313131,Moderate
126,2010-07,3281538951.219431,2722468269.19192,High
126,2010-07,4132294275.290427,3520601371.71717,Middle
126,2010-07,518898142.0528488,470142061.1111112,Low
127,2010-08,2063706565.232446,5127000700.000001,Moderate
127,2010-08,3504682422.863964,12162667014.14141,High
127,2010-08,4319084233.573022,12313369685.85859,Middle
127,2010-08,518193738.7535119,1292874513.636364,Low
128,2010-09,2242678695.893887,4249616568.181817,Moderate
128,2010-09,3821133425.887951,8192770520.202022,High
128,2010-09,4840856933.303288,9866896743.434341,Middle
128,2010-09,576771295.62409,1131347425.757576,Low
129,2010-10,2301252991.733945,2404775630.80808,Moderate
129,2010-10,4354769533.078054,3844601380.30303,High
129,2010-10,4916975552.209673,4937676613.636365,Middle
129,2010-10,625396639.1037011,669008754.0404041,Low
130,2010-11,2214596483.807711,1518917965.656565,Moderate
130,2010-11,3993367174.731521,2381611360.10101,High
130,2010-11,4874330883.027312,3102233014.141413,Middle
130,2010-11,666551130.4490731,464614008.5858585,Low
131,2010-12,2218313290.503021,1230600323.737374,Moderate
131,2010-12,3832802832.172668,1861020383.838384,High
131,2010-12,4845855145.035233,2486991164.141414,Middle
131,2010-12,559449413.6507394,313361481.3131313,Low
132,2011-01,2250688980.718119,1979237294.949495,Moderate
132,2011-01,4035563634.425894,3035404737.373738,High
132,2011-01,4775382650.477318,3838066533.333333,Middle
132,2011-01,579912665.3870095,459735770.2020203,Low
133,2011-02,2205222104.27843,1476235816.161617,Moderate
133,2011-02,4181873643.820235,2024796171.212121,High
133,2011-02,4723472642.007021,2882208197.474749,Middle
133,2011-02,568490179.3328402,397913474.2424242,Low
134,2011-03,2279480080.802371,1397912487.373737,Moderate
134,2011-03,4147283772.608269,1878106758.080808,High
134,2011-03,4749038220.989471,2663153058.080809,Middle
134,2011-03,597716286.2444718,355390880.8080809,Low
135,2011-04,2425549535.993866,1644802723.737373,Moderate
135,2011-04,5165149150.695949,2719635397.979797,High
135,2011-04,5802001003.668365,3534979490.909089,Middle
135,2011-04,642434611.580389,406130421.2121212,Low
136,2011-05,2465549131.219897,1906576117.676768,Moderate
136,2011-05,4227587548.12603,2814377470.707071,High
136,2011-05,4970929180.410923,3719952422.222225,Middle
136,2011-05,615740711.8621575,488274043.9393939,Low
137,2011-06,2232894411.799345,1869460921.212121,Moderate
137,2011-06,4086002720.580109,2884470597.9798,High
137,2011-06,4749926624.358894,3648483794.444445,Middle
137,2011-06,651603413.9874276,515547150,Low
138,2011-07,2269906650.944793,1999663043.434344,Moderate
138,2011-07,4065325146.768838,3395582017.171718,High
138,2011-07,4843608442.427164,4148824582.323231,Middle
138,2011-07,668495800.1556624,597512138.3838384,Low
139,2011-08,2368814798.367938,5874095222.222226,Moderate
139,2011-08,4074867650.211356,14176115063.63636,High
139,2011-08,5029766702.799881,14309744462.12122,Middle
139,2011-08,636243562.6521934,1589035390.909091,Low
140,2011-09,2302231193.855193,4376925780.808081,Moderate
140,2011-09,3881336455.488286,8256679830.808078,High
140,2011-09,4853308850.338654,9913302036.363634,Middle
140,2011-09,590346696.5207136,1162953104.545455,Low
141,2011-10,2022337311.452362,2110972428.787879,Moderate
141,2011-10,3388255710.620788,2984717155.555555,High
141,2011-10,4021357272.997734,4007404919.696972,Middle
141,2011-10,546308886.1336811,585090637.878788,Low
142,2011-11,2479147706.51579,1695154932.828283,Moderate
142,2011-11,3934150139.544169,2333057385.353536,High
142,2011-11,5029961058.949755,3192090246.969698,Middle
142,2011-11,569715024.5248541,394551443.9393939,Low
143,2011-12,2317199036.073482,1301117944.949495,Moderate
143,2011-12,3943930310.967848,1945915900.505049,High
143,2011-12,4723585882.065222,2458023531.818183,Middle
143,2011-12,571140706.1117611,325242622.2222223,Low
144,2012-01,2400062736.925805,2107554300.505051,Moderate
144,2012-01,3854215621.666605,2907164968.68687,High
144,2012-01,4583816180.950358,3689081557.575758,Middle
144,2012-01,557173850.1523272,443712952.0202019,Low
145,2012-02,2285426117.176066,1533323925.252526,Moderate
145,2012-02,3741131862.961874,1823986982.828283,High
145,2012-02,4558714237.133817,2803599203.030303,Middle
145,2012-02,625122718.4122492,439973420.2020203,Low
146,2012-03,2314788854.876399,1431495550.505051,Moderate
146,2012-03,3887982934.02845,1790846210.101011,High
146,2012-03,4703343748.270764,2681796958.585859,Middle
146,2012-03,571833908.0355104,346506976.2626262,Low
147,2012-04,2024375843.094936,1365550820.70707,Moderate
147,2012-04,3595776528.252199,1872800383.838384,High
147,2012-04,4426580155.84602,2681853154.040403,Middle
147,2012-04,591041210.8969055,373891035.8585859,Low
148,2012-05,2335223880.04425,1805356915.151515,Moderate
148,2012-05,4131597691.71118,2760989158.080807,High
148,2012-05,5108020595.562055,3817023205.555555,Middle
148,2012-05,640020417.5024734,498975987.3737373,Low
149,2012-06,2436083483.629989,2025379621.21212,Moderate
149,2012-06,4436063431.356253,3092321754.545453,High
149,2012-06,5169430539.934934,3940345058.080812,Middle
149,2012-06,641580077.8987737,498659565.1515151,Low
150,2012-07,2701302637.894863,2384873744.444445,Moderate
150,2012-07,4936603478.737409,4192913364.141414,High
150,2012-07,5753994673.562774,4984432763.13131,Middle
150,2012-07,688402649.3021891,609834353.0303029,Low
151,2012-08,2309504229.842574,5698039791.919191,Moderate
151,2012-08,4033297882.669184,13972545600.50505,High
151,2012-08,4907095593.726983,13868482876.26262,Middle
151,2012-08,634531280.3125356,1580476685.353536,Low
152,2012-09,2117551552.502047,4044879439.393936,Moderate
152,2012-09,3451082788.76733,7286803715.656565,High
152,2012-09,4482096754.81815,9152593829.797985,Middle
152,2012-09,602102332.7882282,1195383227.272727,Low
153,2012-10,2208880460.814393,2290615510.101009,Moderate
153,2012-10,4143516940.4049,3637583913.131311,High
153,2012-10,4810124650.095294,4727840564.141418,Middle
153,2012-10,608994403.3296919,648831141.919192,Low
154,2012-11,2024834554.199618,1376852109.090909,Moderate
154,2012-11,3818408029.067212,2231628561.616162,High
154,2012-11,4330500098.217456,2730146260.60606,Middle
154,2012-11,551859303.9399343,373246119.6969697,Low
155,2012-12,2011537413.518495,1162035442.929293,Moderate
155,2012-12,3718797036.930454,1885958133.333334,High
155,2012-12,4198098822.823816,2247019999.494949,Middle
155,2012-12,565027083.3445725,334178911.6161616,Low
156,2013-01,2049520516.050117,1790929796.464647,Moderate
156,2013-01,3721228458.45462,2841701469.69697,High
156,2013-01,4675436760.933319,3781323703.030303,Middle
156,2013-01,705514485.3235489,566273758.0808082,Low
157,2013-02,2076096771.438074,1405497136.363636,Moderate
157,2013-02,3939529683.556296,1963688519.191919,High
157,2013-02,4328848354.508225,2706346992.424242,Middle
157,2013-02,501486474.2210174,358226933.8383838,Low
158,2013-03,1895718349.854412,1192056482.828283,Moderate
158,2013-03,3285521417.834241,1576798600.50505,High
158,2013-03,3921726106.289861,2301240737.373737,Middle
158,2013-03,482420987.8069164,303469910.10101,Low
159,2013-04,1804759263.475538,1204952731.313132,Moderate
159,2013-04,2876577005.236881,1484926959.59596,High
159,2013-04,3919947434.358912,2365504060.10101,Middle
159,2013-04,594216466.8255932,372262661.6161616,Low
160,2013-05,1962456514.038915,1519155939.393939,Moderate
160,2013-05,3219507739.529753,2158256390.404039,High
160,2013-05,4027252775.798465,3004514980.30303,Middle
160,2013-05,485967884.0556377,372982913.6363637,Low
161,2013-06,1588336903.099765,1316787434.343434,Moderate
161,2013-06,2973168812.065825,2024973134.848485,High
161,2013-06,3172092112.213656,2405868089.89899,Middle
161,2013-06,435708039.2059222,334346776.2626262,Low
162,2013-07,1913570819.532498,1689783784.848485,Moderate
162,2013-07,3097473934.688706,2696238966.666667,High
162,2013-07,3850450246.890807,3371177217.171717,Middle
162,2013-07,407756588.4673875,356542536.3636364,Low
163,2013-08,1981229012.662126,4843262500.000002,Moderate
163,2013-08,3474683998.471739,11909357958.58586,High
163,2013-08,4093710730.357393,11448529698.9899,Middle
163,2013-08,523038701.8059507,1290057607.070707,Low
164,2013-09,1989923616.969552,3808699385.353536,Moderate
164,2013-09,3398882180.190316,7106984466.666662,High
164,2013-09,4143184940.235973,8426111365.656569,Middle
164,2013-09,509250307.9702108,1016320712.626263,Low
165,2013-10,1934856244.277955,1992536378.282829,Moderate
165,2013-10,3363917952.082181,2928940208.080809,High
165,2013-10,4103788178.028904,3960232587.373736,Middle
165,2013-10,516109505.1511396,548051178.2828286,Low
166,2013-11,2011894454.728551,1361045730.303031,Moderate
166,2013-11,3539714955.479116,2049236125.757577,High
166,2013-11,4300069461.075892,2689201631.313131,Middle
166,2013-11,550365487.6143562,365917579.2929293,Low
167,2013-12,1803754316.221554,1086803745.959596,Moderate
167,2013-12,3412781717.802629,1803909217.171718,High
167,2013-12,3996111606.201202,2230491121.212122,Middle
167,2013-12,436251773.615051,269896205.050505,Low
168,2014-01,1921483470.717485,1672686804.545455,Moderate
168,2014-01,3313945976.459067,2565900437.878787,High
168,2014-01,3975201654.536091,3242744314.141414,Middle
168,2014-01,581048755.5408814,474220692.4242423,Low
169,2014-02,1942914894.784671,1330137592.929293,Moderate
169,2014-02,3348301061.938591,1709761618.181818,High
169,2014-02,4228788346.558535,2696987751.515152,Middle
169,2014-02,558478642.1620799,398562829.2929292,Low
170,2014-03,1981812519.373181,1268855062.626263,Moderate
170,2014-03,3423801687.94438,1753595618.686869,High
170,2014-03,4216886770.121853,2562148676.767676,Middle
170,2014-03,533676146.2961287,350396068.1818182,Low
171,2014-04,2133996401.821851,1398602394.949495,Moderate
171,2014-04,3634994725.963084,1881048704.040404,High
171,2014-04,4228161916.857981,2542822271.717172,Middle
171,2014-04,639328652.6703556,395765747.4747475,Low
172,2014-05,1768602497.174174,1385809351.515152,Moderate
172,2014-05,3484859279.89149,2348526042.424244,High
172,2014-05,4059188290.278347,3037771302.0202,Middle
172,2014-05,484968179.6823392,369088557.5757575,Low
173,2014-06,1985217320.986011,1633516287.878788,Moderate
173,2014-06,3556210627.829778,2429611062.626262,High
173,2014-06,3983467428.105419,3008244779.79798,Middle
173,2014-06,520585071.9332115,397919743.4343434,Low
174,2014-07,2058492882.237853,1818022973.232325,Moderate
174,2014-07,3767273579.240571,3380946381.31313,High
174,2014-07,4518323794.290979,3974751096.969697,Middle
174,2014-07,478343350.4216483,415820621.7171719,Low
175,2014-08,2091967536.029945,5068973319.696966,Moderate
175,2014-08,3757455104.596437,12530461141.41414,High
175,2014-08,4403342565.439733,12179537104.54546,Middle
175,2014-08,542743973.9889746,1322811514.646464,Low
176,2014-09,2195288883.322721,4197411755.050505,Moderate
176,2014-09,3879952176.201252,7987165884.343435,High
176,2014-09,4660407336.138114,9411406569.696966,Middle
176,2014-09,577115432.336506,1151009527.272727,Low
177,2014-10,2254503457.939956,2295546866.666667,Moderate
177,2014-10,3805018823.400125,3310570006.565655,High
177,2014-10,4500078145.394122,4242556640.404039,Middle
177,2014-10,604081044.469519,633567498.9898988,Low
178,2014-11,2105576730.875695,1431184310.10101,Moderate
178,2014-11,3806894815.980833,2189698341.414143,High
178,2014-11,4461874651.666279,2787586472.222223,Middle
178,2014-11,556908848.2343404,368222722.2222223,Low
179,2014-12,2884219010.220707,1813532819.69697,Moderate
179,2014-12,4735299240.840755,2625935581.313131,High
179,2014-12,6044171006.447943,3532245697.474746,Middle
179,2014-12,642159502.9282031,412626240.9090909,Low
180,2015-01,2261798868.753049,1964978106.565656,Moderate
180,2015-01,4212074613.589137,3351752274.242424,High
180,2015-01,4802082280.043611,3955252017.676767,Middle
180,2015-01,529295971.6703129,443383056.5656565,Low
181,2015-02,2222728129.993724,1527728269.69697,Moderate
181,2015-02,4203837700.482838,2221876423.737375,High
181,2015-02,4737387358.156448,3073066088.383838,Middle
181,2015-02,577660499.7253338,408270270.2020202,Low
182,2015-03,2278323553.270922,1481930940.909091,Moderate
182,2015-03,4240461534.028658,2302798787.878788,High
182,2015-03,4906584275.17297,3073216307.070707,Middle
182,2015-03,591565638.8499266,401307310.1010101,Low
183,2015-04,2463738902.482872,1592720963.636363,Moderate
183,2015-04,3941642371.286129,2035909492.424242,High
183,2015-04,4691424850.116701,2822789105.050506,Middle
183,2015-04,531297824.0146633,327161982.3232323,Low
184,2015-05,2044800438.999863,1624076442.424243,Moderate
184,2015-05,3975068577.763762,2727534073.232323,High
184,2015-05,4361373986.918776,3286286236.363635,Middle
184,2015-05,547916000.7094358,416339620.2020202,Low
185,2015-06,2231524765.359489,1817190578.282829,Moderate
185,2015-06,4036200432.295862,2813434551.0101,High
185,2015-06,4858889037.108661,3655892063.131311,Middle
185,2015-06,536930976.8639988,412654743.9393939,Low
186,2015-07,2243115627.247414,1990538626.767677,Moderate
186,2015-07,4113685125.253877,3769666414.141415,High
186,2015-07,4670925109.430961,4131957222.222221,Middle
186,2015-07,587097595.0506046,506189865.1515151,Low
187,2015-08,2041805643.066321,4924960568.68687,Moderate
187,2015-08,3746586376.002408,12205506688.88889,High
187,2015-08,4302789541.30809,11802194645.9596,Middle
187,2015-08,490289172.2275489,1185525786.363636,Low
188,2015-09,2242167531.457074,4248793947.474748,Moderate
188,2015-09,4029292194.63762,8029130290.909088,High
