month,date,vol,vol_unadj,credit_score_group
84,2007-01,1279528812.451606,1170868639.89899,Subprime
84,2007-01,1562823225.745851,1277578770.20202,Near-prime
84,2007-01,2243366523.590819,2168052189.393939,Deep subprime
84,2007-01,2701244901.659572,2135586195.454545,Prime
84,2007-01,3274585088.117113,2394215911.616163,Super-prime
85,2007-02,1299187353.627294,854024753.0303031,Subprime
85,2007-02,1656643583.12254,934735694.9494951,Near-prime
85,2007-02,2478238039.524801,2170594134.848485,Deep subprime
85,2007-02,3016283042.209499,1540035991.919192,Prime
85,2007-02,3521815850.542707,1617830038.88889,Super-prime
86,2007-03,1361343247.588737,830450118.6868688,Subprime
86,2007-03,1845751548.428846,895748065.1515152,Near-prime
86,2007-03,2962832272.938219,2504002426.262627,Deep subprime
86,2007-03,2992840528.36047,1271565298.484848,Prime
86,2007-03,4097414355.452056,1592750013.131313,Super-prime
87,2007-04,1370414076.650113,842035348.4848485,Subprime
87,2007-04,1745418146.415877,862306820.7070706,Near-prime
87,2007-04,2416341699.273387,1919322721.212121,Deep subprime
87,2007-04,3147681294.563385,1310890467.171717,Prime
87,2007-04,3807062655.777725,1488636562.121212,Super-prime
88,2007-05,1363115594.426817,948241051.0101011,Subprime
88,2007-05,1709772333.84758,994727118.6868684,Near-prime
88,2007-05,2462411296.111878,1969550853.030303,Deep subprime
88,2007-05,2998565994.922153,1654420875.757575,Prime
88,2007-05,3593605249.538401,1912628326.767677,Super-prime
89,2007-06,1302557561.399903,921100001.5151514,Subprime
89,2007-06,2187852227.191351,1271625438.383838,Near-prime
89,2007-06,2281826041.205236,1818132306.565656,Deep subprime
89,2007-06,3141515470.464184,2071765296.464647,Prime
89,2007-06,3930063358.695294,2610623332.32323,Super-prime
90,2007-07,1153859419.478741,1045108878.282829,Subprime
90,2007-07,1651968673.275948,1391680651.010101,Near-prime
90,2007-07,2097892139.714725,1968642301.0101,Deep subprime
90,2007-07,2768981799.548531,2312351061.11111,Prime
90,2007-07,3434385151.242091,3199920385.353535,Super-prime
91,2007-08,1060945421.627916,2440299861.616161,Subprime
91,2007-08,1319535307.598875,3936552870.707072,Near-prime
91,2007-08,2136341170.641682,7369960185.858583,Prime
91,2007-08,2231562384.999899,3442008477.272729,Deep subprime
91,2007-08,2761561755.471426,10298103291.41414,Super-prime
92,2007-09,1127019511.099273,2755106433.838385,Near-prime
92,2007-09,2072255087.185438,3380491306.565657,Deep subprime
92,2007-09,2137768871.599632,4986723737.373736,Prime
92,2007-09,2735661095.75133,6354541870.707071,Super-prime
92,2007-09,970306012.4020107,2057260165.656565,Subprime
93,2007-10,1228471374.726636,1321064859.090908,Near-prime
93,2007-10,2077134049.955949,2558497005.050506,Deep subprime
93,2007-10,2233351842.673762,2162314689.393939,Prime
93,2007-10,2613337428.632977,2269665310.606061,Super-prime
93,2007-10,829709555.3430363,1002272439.393939,Subprime
94,2007-11,1174105284.711786,799942316.6666667,Subprime
94,2007-11,1579916084.570661,964124765.6565657,Near-prime
94,2007-11,2548168126.419076,2144349331.313131,Deep subprime
94,2007-11,2923549193.333581,1630756860.60606,Prime
94,2007-11,3479171720.156558,1659047887.373738,Super-prime
95,2007-12,1023320849.840026,600706526.2626259,Subprime
95,2007-12,1395653114.650284,729959287.8787878,Near-prime
95,2007-12,1940354980.655351,1433511518.686869,Deep subprime
95,2007-12,2367300853.772103,1204556967.171717,Prime
95,2007-12,2629865045.227015,1308856435.858586,Super-prime
96,2008-01,1380942493.102794,1126368164.141414,Near-prime
96,2008-01,2124394087.237951,2044512170.707071,Deep subprime
96,2008-01,2415604820.899934,1898387095.959595,Prime
96,2008-01,2917035797.315098,2159946156.060606,Super-prime
96,2008-01,965938512.9114188,877503784.343435,Subprime
97,2008-02,1049232648.361545,685537036.3636366,Subprime
97,2008-02,1392884090.092978,781045827.2727274,Near-prime
97,2008-02,2150750485.878747,1871121941.414142,Deep subprime
97,2008-02,2404623030.521465,1216708708.585858,Prime
97,2008-02,2983422896.963144,1363454966.161616,Super-prime
98,2008-03,1133988951.685491,544736133.8383842,Near-prime
98,2008-03,1920908117.272055,1622778684.343435,Deep subprime
98,2008-03,2144489186.27087,904980363.6363636,Prime
98,2008-03,2549393937.807004,983503202.5252523,Super-prime
98,2008-03,785794398.6995567,481826837.878788,Subprime
99,2008-04,1210953418.934154,598443494.4444443,Near-prime
99,2008-04,2069092654.281385,862454089.8989897,Prime
99,2008-04,2159839373.937701,1720633682.828282,Deep subprime
99,2008-04,2767423932.954582,1070077420.202019,Super-prime
99,2008-04,856699931.5761263,532417090.909091,Subprime
100,2008-05,1028434332.872619,604096076.7676769,Near-prime
100,2008-05,2048814267.515897,1143270581.818182,Prime
100,2008-05,2086295009.590858,1684597719.69697,Deep subprime
100,2008-05,2678198133.071005,1439516029.292929,Super-prime
100,2008-05,821798291.5140954,576389480.8080807,Subprime
101,2008-06,1556109746.020746,1020659628.282828,Prime
101,2008-06,1752178261.349917,1417492264.646464,Deep subprime
101,2008-06,2338206204.390419,1526929933.333333,Super-prime
101,2008-06,640402000.7214051,457190977.2727271,Subprime
101,2008-06,948687256.0446906,558608505.5555553,Near-prime
102,2008-07,1210141953.98954,1008003998.484849,Near-prime
102,2008-07,2139987312.020149,1768102513.131313,Prime
102,2008-07,2510362645.024028,2337875202.525252,Deep subprime
102,2008-07,2624579269.405631,2405370501.515152,Super-prime
102,2008-07,953293151.3009758,861559399.4949492,Subprime
103,2008-08,1217228779.962625,3667531644.949494,Near-prime
103,2008-08,2082096417.66923,7251947250.505051,Prime
103,2008-08,2394094310.527207,3692698744.949496,Deep subprime
103,2008-08,2785601735.50015,10502488016.16162,Super-prime
103,2008-08,986901461.5995731,2281485984.848485,Subprime
